udise_district_code,district_name,state_name
3501,Andamans,Andaman & Nicobar Islands
3503,Middle And North Andamans,Andaman & Nicobar Islands
3502,Nicobars,Andaman & Nicobar Islands
2822,Anantapur,Andhra Pradesh
2823,Chittoor,Andhra Pradesh
2814,East Godavari,Andhra Pradesh
2817,Guntur,Andhra Pradesh
2820,Kadapa,Andhra Pradesh
2816,Krishna,Andhra Pradesh
2821,Kurnool,Andhra Pradesh
2819,Nellore,Andhra Pradesh
2818,Prakasam,Andhra Pradesh
2811,Srikakulam,Andhra Pradesh
2813,Visakhapatnam,Andhra Pradesh
2812,Vizianagaram,Andhra Pradesh
2815,West Godavari,Andhra Pradesh
1216,Anjaw,Arunachal Pradesh
1223,Capital Complex Itanagar,Arunachal Pradesh
1212,Changlang,Arunachal Pradesh
1210,Dibang Valley,Arunachal Pradesh
1203,East Kameng,Arunachal Pradesh
1208,East Siang,Arunachal Pradesh
1222,Kamle,Arunachal Pradesh
1219,Kra Dadi,Arunachal Pradesh
1214,Kurung Kumey,Arunachal Pradesh
1226,Lepa Rada,Arunachal Pradesh
1211,Lohit,Arunachal Pradesh
1217,Longding,Arunachal Pradesh
1215,Lower Dibang Valley,Arunachal Pradesh
1221,Lower Siang,Arunachal Pradesh
1205,Lower Subansiri,Arunachal Pradesh
1218,Namsai,Arunachal Pradesh
1224,Pakke Kessang,Arunachal Pradesh
1204,Papum Pare,Arunachal Pradesh
1225,Shi Yomi,Arunachal Pradesh
1220,Siang,Arunachal Pradesh
1201,Tawang,Arunachal Pradesh
1213,Tirap,Arunachal Pradesh
1209,Upper Siang,Arunachal Pradesh
1206,Upper Subansiri,Arunachal Pradesh
1202,West Kameng,Arunachal Pradesh
1207,West Siang,Arunachal Pradesh
1824,Baksa,Assam
1805,Barpeta,Assam
1828,Biswanath,Assam
1804,Bongaigaon,Assam
1821,Cachar,Assam
1829,Charaideo,Assam
1825,Chirang,Assam
1808,Darrang,Assam
1813,Dhemaji,Assam
1802,Dhubri,Assam
1815,Dibrugarh,Assam
1820,Dima Hasao,Assam
1803,Goalpara,Assam
1818,Golaghat,Assam
1823,Hailakandi,Assam
1830,Hojai,Assam
1817,Jorhat,Assam
1827,Kamrup-Metro,Assam
1806,Kamrup-Rural,Assam
1819,Karbi Anglong,Assam
1822,Karimganj,Assam
1801,Kokrajhar,Assam
1812,Lakhimpur,Assam
1831,Majuli,Assam
1809,Morigaon,Assam
1810,Nagaon,Assam
1807,Nalbari,Assam
1816,Sibsagar,Assam
1811,Sonitpur,Assam
1832,South Salmara-Mankachar,Assam
1814,Tinsukia,Assam
1826,Udalguri,Assam
1833,West Karbi Anglong,Assam
1007,Araria,Bihar
1038,Arwal,Bihar
1034,Aurangabad (Bihar),Bihar
1023,Banka,Bihar
1020,Begusarai,Bihar
1022,Bhagalpur,Bihar
1029,Bhojpur,Bihar
1030,Buxar,Bihar
1013,Darbhanga,Bihar
1035,Gaya,Bihar
1015,Gopalganj,Bihar
1037,Jamui,Bihar
1033,Jehanabad,Bihar
1031,Kaimur (Bhabua),Bihar
1010,Katihar,Bihar
1021,Khagaria,Bihar
1008,Kishanganj,Bihar
1025,Lakhisarai,Bihar
1011,Madhepura,Bihar
1005,Madhubani,Bihar
1024,Munger,Bihar
1014,Muzaffarpur,Bihar
1027,Nalanda,Bihar
1036,Nawada,Bihar
1001,Pashchim Champaran,Bihar
1028,Patna,Bihar
1002,Purba Champaran,Bihar
1009,Purnia,Bihar
1032,Rohtas,Bihar
1012,Saharsa,Bihar
1019,Samastipur,Bihar
1017,Saran,Bihar
1026,Sheikhpura,Bihar
1003,Sheohar,Bihar
1004,Sitamarhi,Bihar
1016,Siwan,Bihar
1006,Supaul,Bihar
1018,Vaishali,Bihar
401,Chandigarh,Chandigarh
2222,Balod,Chhattisgarh
2224,Balodabazar,Chhattisgarh
2226,Balrampur,Chhattisgarh
2215,Baster,Chhattisgarh
2223,Bemetara,Chhattisgarh
2220,Bijapur,Chhattisgarh
2207,Bilaspur,Chhattisgarh
2216,Dantewada,Chhattisgarh
2213,Dhamtari,Chhattisgarh
2210,Durg,Chhattisgarh
2225,Gariaband,Chhattisgarh
2206,Janjgir - Champa,Chhattisgarh
2203,Jashpur,Chhattisgarh
2214,Kanker,Chhattisgarh
2208,Kawardha,Chhattisgarh
2217,Kondagaon,Chhattisgarh
2205,Korba,Chhattisgarh
2201,Koriya,Chhattisgarh
2212,Mahasamund,Chhattisgarh
2219,Mungeli,Chhattisgarh
2218,Narayanpur,Chhattisgarh
2204,Raigarh,Chhattisgarh
2211,Raipur,Chhattisgarh
2209,Rajnandgaon,Chhattisgarh
2221,Sukma,Chhattisgarh
2227,Surajpur,Chhattisgarh
2202,Surguja,Chhattisgarh
2601,Dadra And Nagar Haveli (UT),Dadra & Nagar Haveli
2502,Daman,Daman & Diu
2501,Diu,Daman & Diu
721,Central,Delhi
710,East,Delhi
720,New Delhi,Delhi
712,North,Delhi
711,North East,Delhi
713,North West A,Delhi
714,North West B,Delhi
719,South,Delhi
722,South East,Delhi
717,South West A,Delhi
718,South West B,Delhi
715,West A,Delhi
716,West B,Delhi
3001,North Goa,Goa
3002,South Goa,Goa
2407,Ahmedabad,Gujarat
2413,Amreli,Gujarat
2415,Anand,Gujarat
2427,Aravalli,Gujarat
2402,Banas Kantha,Gujarat
2421,Bharuch,Gujarat
2414,Bhavnagar,Gujarat
2428,Botad,Gujarat
2432,Chhotaudepur,Gujarat
2429,Devbhoomi Dwarka,Gujarat
2418,Dohad,Gujarat
2406,Gandhinagar,Gujarat
2430,Gir Somnath,Gujarat
2410,Jamnagar,Gujarat
2412,Junagadh,Gujarat
2401,Kachchh,Gujarat
2416,Kheda,Gujarat
2404,Mahesana,Gujarat
2431,Mahisagar,Gujarat
2433,Morbi,Gujarat
2420,Narmada,Gujarat
2424,Navsari,Gujarat
2417,Panch Mahals,Gujarat
2403,Patan,Gujarat
2411,Porbandar,Gujarat
2409,Rajkot,Gujarat
2405,Sabar Kantha,Gujarat
2422,Surat,Gujarat
2408,Surendranagar,Gujarat
2426,Tapi,Gujarat
2423,The Dangs,Gujarat
2419,Vadodara,Gujarat
2425,Valsad,Gujarat
602,Ambala,Haryana
613,Bhiwani,Haryana
622,Charkhi Dadri,Haryana
619,Faridabad,Haryana
610,Fatehabad,Haryana
618,Gurugram,Haryana
612,Hisar,Haryana
615,Jhajjar,Haryana
609,Jind,Haryana
605,Kaithal,Haryana
606,Karnal,Haryana
604,Kurukshetra,Haryana
616,Mahendragarh,Haryana
620,Nuh,Haryana
621,Palwal,Haryana
601,Panchkula,Haryana
607,Panipat,Haryana
617,Rewari,Haryana
614,Rohtak,Haryana
611,Sirsa,Haryana
608,Sonipat,Haryana
603,Yamunanagar,Haryana
208,Bilaspur (H.P.),Himachal Pradesh
201,Chamba,Himachal Pradesh
206,Hamirpur (H.P.),Himachal Pradesh
202,Kangra,Himachal Pradesh
212,Kinnaur,Himachal Pradesh
204,Kullu,Himachal Pradesh
203,Lahul & Spiti,Himachal Pradesh
205,Mandi,Himachal Pradesh
211,Shimla,Himachal Pradesh
210,Sirmaur,Himachal Pradesh
