district_name;state_name;udise_district_code;grade;updated_at;created_at;district_id;state_id;subject;boys;boys_basic_and_below_basic;boys_proficient_and_advance;girls;girls_basic_and_below_basic;girls_proficient_and_advance;trans_gender
West Garo Hills;Meghalaya;1701;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1701;17;evs;51.856888;66.73194;33.26806;48.14905;72.9443;27.0557;0
West Garo Hills;Meghalaya;1701;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1701;17;language;52.89922;71.784546;28.215456;49.997875;76.69053;23.309467;0
West Garo Hills;Meghalaya;1701;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1701;17;math;46.551285;71.32925;28.67075;42.576088;80.12698;19.87302;0
West Garo Hills;Meghalaya;1701;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1701;17;evs;37.812523;86.75932;13.24068;37.313103;83.395294;16.604704;0
West Garo Hills;Meghalaya;1701;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1701;17;language;42.321747;77.65012;22.349878;42.86722;78.04325;21.956749;0
West Garo Hills;Meghalaya;1701;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1701;17;math;32.04392;91.651985;8.348014;31.472836;93.106064;6.8939347;0
West Garo Hills;Meghalaya;1701;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1701;17;language;34.223034;89.4604;10.539599;38.000713;86.72316;13.276839;0
West Garo Hills;Meghalaya;1701;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1701;17;math;27.151852;94.935356;5.0646434;27.622683;93.388504;6.6114936;0
West Garo Hills;Meghalaya;1701;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1701;17;sci;29.535093;97.019196;2.980807;31.042538;91.928375;8.071623;0
West Garo Hills;Meghalaya;1701;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1701;17;sst;28.785183;94.10181;5.898195;30.226532;99.2135;0.7864983;0
West Garo Hills;Meghalaya;1701;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1701;17;eng;36.612263;54.142544;45.857456;36.87562;51.46376;48.53624;0
