district_name;state_name;udise_district_code;grade;updated_at;created_at;district_id;state_id;subject;central_govt;central_govt_basic_and_below_basic;central_govt_proficient_and_advance;govt;govt_aided;govt_aided_basic_and_below_basic;govt_aided_proficient_and_advance;govt_basic_and_below_basic;govt_proficient_and_advance;private;private_basic_and_below_basic;private_proficient_and_advance
West Garo Hills;Meghalaya;1701;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1701;17;evs;38;90;10;58.287354;39.88126;83.91047;16.089533;61.504673;38.495327;53.42532;60.788494;39.211506
West Garo Hills;Meghalaya;1701;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1701;17;language;43.21839;100;0;57.552925;42.54601;87.91903;12.080969;66.742615;33.25738;56.081665;63.90144;36.09856
West Garo Hills;Meghalaya;1701;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1701;17;math;44.016228;93.10345;6.8965516;51.311283;35.70614;89.43842;10.561575;65.85474;34.14526;47.41797;70.77646;29.223543
West Garo Hills;Meghalaya;1701;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1701;17;evs;38.703705;83.333336;16.666666;44.380074;35.432888;92.05254;7.947453;71.09223;28.907766;32.58181;91.47591;8.524094
West Garo Hills;Meghalaya;1701;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1701;17;language;53.333332;63.333332;36.666668;49.813526;41.188385;81.43274;18.567265;66.069275;33.93073;35.687454;87.30976;12.690241
West Garo Hills;Meghalaya;1701;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1701;17;math;36;96.666664;3.3333333;37.15579;28.014986;99.16037;0.83963054;84.882835;15.117166;30.21897;91.860916;8.139083
West Garo Hills;Meghalaya;1701;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1701;17;language;51.11111;66.666664;33.333332;30.741207;36.310154;87.70466;12.295344;95.9838;4.0161977;46.2726;75.61583;24.384167
West Garo Hills;Meghalaya;1701;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1701;17;math;29.285715;92.85714;7.142857;26.055796;27.686773;94.3722;5.6278024;93.574585;6.4254127;27.851559;93.07989;6.920113
West Garo Hills;Meghalaya;1701;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1701;17;sci;36.25;87.5;12.5;29.252455;30.31477;93.412735;6.587264;98.76284;1.2371616;32.49171;91.81998;8.180024
West Garo Hills;Meghalaya;1701;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1701;17;sst;32.22222;100;0;27.458864;29.870235;96.25159;3.7484117;100;0;31.105947;95.10653;4.8934684
West Garo Hills;Meghalaya;1701;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1701;17;eng;68.888885;0;100;34.967762;35.65820343;53.89451946;46.10548054;62.186337;37.813663;38.039116;50.617706;49.382294
West Garo Hills;Meghalaya;1701;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1701;17;math;43.42857;30;70;23.677855;25.46655762;94.56022021;5.439779789;96.69125;3.308745;26.729195;91.48999;8.510006
West Garo Hills;Meghalaya;1701;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1701;17;mil;47.714287;90;10;28.709494;25.3350494;100;0;100;0;28.059034;98.26974;1.7302663
West Garo Hills;Meghalaya;1701;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1701;17;sci;50;80;20;28.589777;28.76764876;97.19515527;2.804844732;100;0;29.479774;98.16277;1.8372256
West Garo Hills;Meghalaya;1701;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1701;17;sst;50.47619;66.666664;33.333332;28.993525;29.96453592;100;0;97.273895;2.7261064;30.22482;96.0803;3.9196992
East Garo Hills;Meghalaya;1702;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1702;17;evs;0;0;0;49.355694;41.166492;79.67881;20.32119;70.24344;29.756563;37.931618;86.53868;13.461322
East Garo Hills;Meghalaya;1702;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1702;17;language;0;0;0;51.519047;41.51142;80.84768;19.152325;70.93864;29.061363;36.54513;90.03065;9.969352
East Garo Hills;Meghalaya;1702;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1702;17;math;0;0;0;43.630627;35.550636;83.67925;16.320751;78.49717;21.502829;32.910988;90.55689;9.443104
East Garo Hills;Meghalaya;1702;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1702;17;evs;0;0;0;32.853313;30.871809;96.60786;3.392142;92.36127;7.6387367;37.049744;91.01811;8.98189
East Garo Hills;Meghalaya;1702;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1702;17;language;0;0;0;37.26491;33.98223;92.05456;7.9454455;84.98281;15.017189;46.030853;74.6292;25.370796
East Garo Hills;Meghalaya;1702;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1702;17;math;0;0;0;25.854036;26.312876;100;0;98.45979;1.540208;30.369555;92.19014;7.8098607
East Garo Hills;Meghalaya;1702;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1702;17;language;28.666666;93.333336;6.6666665;29.622065;31.569962;97.355934;2.6440628;96.37795;3.6220472;39.251003;87.50885;12.491154
East Garo Hills;Meghalaya;1702;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1702;17;math;23.958334;100;0;23.593904;24.68912;99.57919;0.42080608;97.78013;2.2198732;25.940615;96.40226;3.5977418
East Garo Hills;Meghalaya;1702;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1702;17;sci;25.238094;100;0;26.797554;28.486223;96.44279;3.5572116;98.106064;1.8939394;29.836817;97.0027;2.9972956
East Garo Hills;Meghalaya;1702;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1702;17;sst;30.222221;100;0;27.147427;29.083073;98.50326;1.4967406;96.64179;3.358209;30.753603;99.22657;0.7734304
East Garo Hills;Meghalaya;1702;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1702;17;eng;34.761906;58.333332;41.666668;37.290676;33.21993703;61.49337889;38.50662111;61.273148;38.726852;35.09991;59.190475;40.809525
East Garo Hills;Meghalaya;1702;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1702;17;math;23.333334;100;0;23.7735;24.62797791;95.87997692;4.120023081;93.61702;6.382979;25.556376;95.88219;4.1178107
East Garo Hills;Meghalaya;1702;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1702;17;mil;27.142857;100;0;17.802198;21.95132665;100;0;100;0;25.315947;100;0
East Garo Hills;Meghalaya;1702;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1702;17;sci;32.142857;100;0;27.950397;28.681982;98.29856954;1.701430462;100;0;28.220572;100;0
East Garo Hills;Meghalaya;1702;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1702;17;sst;28.571428;91.666664;8.333333;37.113094;29.61077179;99.24838941;0.751610594;85.416664;14.583333;29.714214;97.624504;2.3754966
South Garo Hills;Meghalaya;1703;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1703;17;evs;0;0;0;47.080368;41.241802;85.46704;14.532963;69.58934;30.41066;39.53089;84.253944;15.746059
South Garo Hills;Meghalaya;1703;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1703;17;language;0;0;0;50.93402;41.60283;88.452286;11.547711;76.99898;23.001022;41.670902;81.63021;18.369791
South Garo Hills;Meghalaya;1703;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1703;17;math;0;0;0;41.43462;38.553112;89.53588;10.464121;80.46871;19.531284;35.734234;86.87054;13.129462
South Garo Hills;Meghalaya;1703;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1703;17;evs;0;0;0;38.034344;36.897556;90.66113;9.338866;88.031425;11.9685755;35.21547;90.35453;9.645468
