state_name;grade;id;created_at;updated_at;subject;govt;govt_aided;private;central_govt;govt_basic_and_below_basic;govt_proficient_and_advance;govt_aided_basic_and_below_basic;govt_aided_proficient_and_advance;private_basic_and_below_basic;private_proficient_and_advance;central_govt_basic_and_below_basic;central_govt_proficient_and_advance
Andaman & Nicobar Islands;3;35;2022-05-20T00:01:10;2022-05-20T00:01:10;evs;60.04353791;44.09923956;59.57908375;49.69436353;54.14489708;45.85510292;81.76596094;18.23403906;50.45720535;49.54279465;81.27340824;18.72659176
Andaman & Nicobar Islands;3;35;2022-05-20T00:01:10;2022-05-20T00:01:10;language;64.26661427;44.48913396;62.6173843;61.39517345;59.19138172;40.80861828;84.00908206;15.99091794;58.80274971;41.19725029;62.1040724;37.8959276
Andaman & Nicobar Islands;3;35;2022-05-20T00:01:10;2022-05-20T00:01:10;math;57.01442626;38.00565117;54.230334;45.90404918;59.77657156;40.22342844;90.23580786;9.76419214;66.17832393;33.82167607;77.00120273;22.99879727
Andaman & Nicobar Islands;5;72;2022-05-20T00:01:11;2022-05-20T00:01:11;evs;44.86791141;44.02993667;53.27976255;50.51049348;73.36176503;26.63823497;81.39896373;18.60103627;59.81112138;40.18887862;67.90981282;32.09018718
Andaman & Nicobar Islands;5;72;2022-05-20T00:01:11;2022-05-20T00:01:11;language;48.0841636;47.39457568;65.61226942;56.9539749;69.6812571;30.3187429;76.53543307;23.46456693;41.29642673;58.70357327;55.14644351;44.85355649
Andaman & Nicobar Islands;5;72;2022-05-20T00:01:11;2022-05-20T00:01:11;math;40.42193546;34.13554987;41.94079267;40.98535565;82.54688831;17.45311169;97.64705882;2.352941176;85.55132249;14.44867751;81.72942817;18.27057183
Andaman & Nicobar Islands;8;109;2022-05-20T00:01:11;2022-05-20T00:01:11;language;43.96818289;50.90909091;67.69575059;66.6317052;85.19197147;14.80802853;76.36363636;23.63636364;38.12381105;61.87618895;40.45341619;59.54658381
Andaman & Nicobar Islands;8;109;2022-05-20T00:01:11;2022-05-20T00:01:11;math;32.03546887;30.31818182;37.31097872;34.19768827;81.49419597;18.50580403;89.65909091;10.34090909;71.23756953;28.76243047;77.70234312;22.29765688
Andaman & Nicobar Islands;8;109;2022-05-20T00:01:11;2022-05-20T00:01:11;sci;38.3068275;39.52597403;45.78704921;43.05584175;77.11996251;22.88003749;77.72727273;22.27272727;59.25226493;40.74773507;61.8019554;38.1980446
Andaman & Nicobar Islands;8;109;2022-05-20T00:01:11;2022-05-20T00:01:11;sst;34.1539635;35.22424242;43.15201092;36.47346163;91.88302172;8.116978276;93.21212121;6.787878788;77.25111626;22.74888374;87.68679696;12.31320304
Andaman & Nicobar Islands;10;146;2022-05-20T00:01:11;2022-05-20T00:01:11;eng;45.98798;58.219505;68.64098;64.38812;29.23815;70.76185;17.032164;82.967834;5.726772;94.27323;15.396455;84.603546
Andaman & Nicobar Islands;10;146;2022-05-20T00:01:11;2022-05-20T00:01:11;math;30.115896;26.892231;34.566673;38.377045;81.980415;18.019587;88.04825;11.951755;68.377625;31.622377;49.063538;50.936462
Andaman & Nicobar Islands;10;146;2022-05-20T00:01:11;2022-05-20T00:01:11;mil;35.40953;31.759607;39.960182;47.392467;96.657646;3.3423572;96.01608;3.9839182;90.71445;9.285554;78.695915;21.304085
Andaman & Nicobar Islands;10;146;2022-05-20T00:01:11;2022-05-20T00:01:11;sci;36.23886;42.837303;44.92792;46.420265;92.54635;7.453651;87.31725;12.682749;75.10478;24.895216;64.96676;35.03324
Andaman & Nicobar Islands;10;146;2022-05-20T00:01:11;2022-05-20T00:01:11;sst;36.66327;44.380745;49.12524;45.89174;88.63576;11.3642435;78.61842;21.381578;60.38122;39.61878;68.660835;31.339163
