state_name;grade;id;created_at;updated_at;subject;state_average;national_average;state_average_scaled_2021;state_average_scaled_2017;below_basic;basic;proficient;advanced
Andaman & Nicobar Islands;3;35;2022-05-20T00:01:10;2022-05-20T00:01:10;evs;54.99309229;57.41111026;302;318;20.52490339;44.64492352;26.43531412;8.394858964
Andaman & Nicobar Islands;3;35;2022-05-20T00:01:10;2022-05-20T00:01:10;language;61.64457356;61.88003463;323;326;28.22588429;33.38260544;25.65281319;12.73869709
Andaman & Nicobar Islands;3;35;2022-05-20T00:01:10;2022-05-20T00:01:10;math;50.85597897;56.94394351;290;318;27.8697517;42.03289602;24.26486258;5.832489701
Andaman & Nicobar Islands;5;72;2022-05-20T00:01:11;2022-05-20T00:01:11;evs;48.54892504;48.48748114;283;303;31.50946473;37.25120526;25.76489483;5.474435176
Andaman & Nicobar Islands;5;72;2022-05-20T00:01:11;2022-05-20T00:01:11;language;55.07950032;55.19833154;311;309;19.2170075;39.31860984;30.36545834;11.09892432
Andaman & Nicobar Islands;5;72;2022-05-20T00:01:11;2022-05-20T00:01:11;math;40.70439524;43.71621283;278;302;33.04136307;50.62796017;14.58135724;1.749319511
Andaman & Nicobar Islands;8;109;2022-05-20T00:01:11;2022-05-20T00:01:11;language;55.10668897;52.97309821;307;294;18.20754772;45.12917521;22.6541683;14.00910878
Andaman & Nicobar Islands;8;109;2022-05-20T00:01:11;2022-05-20T00:01:11;math;33.58001944;36.02218948;247;248;28.53087955;50.251898;19.77609091;1.441131549
Andaman & Nicobar Islands;8;109;2022-05-20T00:01:11;2022-05-20T00:01:11;sci;41.13910179;39.38511521;254;254;38.59860325;30.73901058;18.63746548;12.02492069
Andaman & Nicobar Islands;8;109;2022-05-20T00:01:11;2022-05-20T00:01:11;sst;36.54816334;39.33958349;246;257;44.34019124;43.63063897;8.470179142;3.558990654
Andaman & Nicobar Islands;10;146;2022-05-20T00:01:11;2022-05-20T00:01:11;eng;54.69843;43.18472;310;251;11.785759;9.956559;42.01774;36.23994
Andaman & Nicobar Islands;10;146;2022-05-20T00:01:11;2022-05-20T00:01:11;math;32.940342;32.09475;224;243;24.31093;46.682327;26.394756;2.611986
Andaman & Nicobar Islands;10;146;2022-05-20T00:01:11;2022-05-20T00:01:11;mil;39.322685;41.25734;255;253;60.38307;30.285425;8.348409;0.98309517
Andaman & Nicobar Islands;10;146;2022-05-20T00:01:11;2022-05-20T00:01:11;sci;40.563667;34.924866;229;251;56.486576;25.616796;17.461813;0.4348127
Andaman & Nicobar Islands;10;146;2022-05-20T00:01:11;2022-05-20T00:01:11;sst;41.264683;37.30951;245;254;49.32215;29.450212;17.161161;4.0664735
