state_name;grade;id;created_at;updated_at;subject;sc;st;obc;general;sc_basic_and_below_basic;sc_proficient_and_advance;st_basic_and_below_basic;st_proficient_and_advance;obc_basic_and_below_basic;obc_proficient_and_advance;general_basic_and_below_basic;general_proficient_and_advance
Assam;3;18;2022-05-20T00:01:10;2022-05-20T00:01:10;evs;63.48043855;58.09990005;61.18910162;61.74857561;44.94455447;55.05544553;55.98582929;44.01417071;49.95998239;50.04001761;48.23006788;51.76993212
Assam;3;18;2022-05-20T00:01:10;2022-05-20T00:01:10;language;65.61093117;60.39085087;64.20710772;64.19394142;52.30148734;47.69851266;63.08698657;36.91301343;57.20386485;42.79613515;56.87683084;43.12316916
Assam;3;18;2022-05-20T00:01:10;2022-05-20T00:01:10;math;62.83040695;56.19617052;60.1820347;62.48458909;48.7880967;51.2119033;59.57021924;40.42978076;52.87255404;47.12744596;47.86210248;52.13789752
Assam;5;55;2022-05-20T00:01:11;2022-05-20T00:01:11;evs;52.15892146;50.85604606;51.54177453;53.23168198;62.32355245;37.67644755;65.02837083;34.97162917;63.65272222;36.34727778;58.43194334;41.56805666
Assam;5;55;2022-05-20T00:01:11;2022-05-20T00:01:11;language;55.67561604;57.92431055;56.34930196;56.99043488;55.15792642;44.84207358;55.58491886;44.41508114;56.79058315;43.20941685;55.16729725;44.83270275
Assam;5;55;2022-05-20T00:01:11;2022-05-20T00:01:11;math;47.82040702;45.07817412;45.77019574;48.13246285;67.64868768;32.35131232;74.94198205;25.05801795;71.6678093;28.3321907;67.91431615;32.08568385
Assam;8;92;2022-05-20T00:01:11;2022-05-20T00:01:11;language;45.71248452;46.37522059;48.51201741;48.45221977;78.20973437;21.79026563;79.35456241;20.64543759;73.56647906;26.43352094;73.95840133;26.04159867
Assam;8;92;2022-05-20T00:01:11;2022-05-20T00:01:11;math;34.81696715;33.13761941;33.55038538;38.30865279;74.32979732;25.67020268;79.45704217;20.54295783;78.462881;21.537119;65.19656172;34.80343828
Assam;8;92;2022-05-20T00:01:11;2022-05-20T00:01:11;sci;36.41252484;35.66022699;37.49029577;39.24058928;78.53908247;21.46091753;82.62081651;17.37918349;76.66259253;23.33740747;71.48013251;28.51986749
Assam;8;92;2022-05-20T00:01:11;2022-05-20T00:01:11;sst;38.95902772;36.71934971;38.7029627;41.11806629;80.19060122;19.80939878;85.98692185;14.01307815;80.62207839;19.37792161;74.83202012;25.16797988
Assam;10;129;2022-05-20T00:01:11;2022-05-20T00:01:11;eng;38.974518;40.77642;41.352375;41.31394;49.996822;50.003178;44.796494;55.203506;44.75674;55.24326;46.423424;53.576576
Assam;10;129;2022-05-20T00:01:11;2022-05-20T00:01:11;math;30.856249;29.08751;31.188263;33.888947;79.40054;20.599459;83.01531;16.984688;78.13058;21.86942;71.10532;28.89468
Assam;10;129;2022-05-20T00:01:11;2022-05-20T00:01:11;mil;38.470486;36.341385;39.31106;39.011917;94.790184;5.209814;95.81663;4.183369;92.79385;7.2061453;93.37232;6.627676
Assam;10;129;2022-05-20T00:01:11;2022-05-20T00:01:11;sci;33.416954;32.484295;33.656086;35.258595;94.36149;5.638509;96.296936;3.7030644;93.13815;6.86185;89.56101;10.438987
Assam;10;129;2022-05-20T00:01:11;2022-05-20T00:01:11;sst;34.09606;34.70047;35.93391;35.531887;91.02624;8.9737625;92.35595;7.644054;88.78743;11.212567;87.67308;12.3269205
