state_name;grade;id;created_at;updated_at;subject;govt;govt_aided;private;central_govt;govt_basic_and_below_basic;govt_proficient_and_advance;govt_aided_basic_and_below_basic;govt_aided_proficient_and_advance;private_basic_and_below_basic;private_proficient_and_advance;central_govt_basic_and_below_basic;central_govt_proficient_and_advance
Bihar;3;10;2022-05-20T00:01:10;2022-05-20T00:01:10;evs;52.72295368;49.27442365;61.22982322;54.15874047;61.30150437;38.69849563;66.74955074;33.25044926;52.05205264;47.94794736;61.52598862;38.47401138
Bihar;3;10;2022-05-20T00:01:10;2022-05-20T00:01:10;language;57.13739072;52.69192238;66.73896259;58.42402813;66.9440134;33.0559866;70.96719555;29.03280445;54.64383985;45.35616015;63.98938457;36.01061543
Bihar;3;10;2022-05-20T00:01:10;2022-05-20T00:01:10;math;54.25351602;49.01051902;63.93708233;54.53160925;59.04997804;40.95002196;66.06433509;33.93566491;46.13928639;53.86071361;61.35399077;38.64600923
Bihar;5;47;2022-05-20T00:01:11;2022-05-20T00:01:11;evs;45.40136882;42.04048194;52.58807712;49.92966518;68.83351937;31.16648063;77.17635783;22.82364217;63.36431433;36.63568567;66.21783531;33.78216469
Bihar;5;47;2022-05-20T00:01:11;2022-05-20T00:01:11;language;51.25430649;49.21855219;62.0253343;56.90487234;63.06941879;36.93058121;68.89012395;31.10987605;46.81865267;53.18134733;55.7103823;44.2896177
Bihar;5;47;2022-05-20T00:01:11;2022-05-20T00:01:11;math;41.29730498;37.42853834;51.13070463;47.56536885;75.66378388;24.33621612;83.83245562;16.16754438;64.27283426;35.72716574;69.98168927;30.01831073
Bihar;8;84;2022-05-20T00:01:11;2022-05-20T00:01:11;language;42.82732839;49.05521479;66.01027872;68.25655445;82.17413633;17.82586367;73.44019764;26.55980236;41.91387853;58.08612147;37.58881077;62.41118923
Bihar;8;84;2022-05-20T00:01:11;2022-05-20T00:01:11;math;34.1456912;33.86855231;48.96125018;53.90624681;73.10652508;26.89347492;75.47492333;24.52507667;41.66886655;58.33113345;36.32919817;63.67080183
Bihar;8;84;2022-05-20T00:01:11;2022-05-20T00:01:11;sci;34.7796616;37.19807532;49.85192633;53.65289892;78.94475979;21.05524021;75.85384846;24.14615154;48.1740219;51.8259781;37.75450643;62.24549357
Bihar;8;84;2022-05-20T00:01:11;2022-05-20T00:01:11;sst;37.34786462;38.49576695;47.90914205;48.2485091;79.71571652;20.28428348;79.07012735;20.92987265;62.57391722;37.42608278;60.42173425;39.57826575
Bihar;10;121;2022-05-20T00:01:11;2022-05-20T00:01:11;eng;31.524755;35.165253;46.16652;61.80721;63.00609;36.99391;52.428192;47.571808;38.732132;61.267868;11.1549425;88.845055
Bihar;10;121;2022-05-20T00:01:11;2022-05-20T00:01:11;math;32.51238;31.717478;36.830395;46.709503;73.87088;26.129116;76.29919;23.700811;63.96142;36.03858;39.0366;60.9634
Bihar;10;121;2022-05-20T00:01:11;2022-05-20T00:01:11;mil;34.920883;37.370087;43.30811;56.907978;94.837;5.163003;93.54388;6.4561205;81.903175;18.096827;57.22744;42.77256
Bihar;10;121;2022-05-20T00:01:11;2022-05-20T00:01:11;sci;31.059933;31.22797;38.281345;46.255165;96.032814;3.967187;95.33834;4.6616554;82.00889;17.99111;70.40469;29.595306
Bihar;10;121;2022-05-20T00:01:11;2022-05-20T00:01:11;sst;32.271;32.540157;40.094074;52.481056;92.79421;7.2057843;92.95745;7.042552;76.365105;23.634892;53.50606;46.49394
