state_name;grade;id;created_at;updated_at;subject;sc;st;obc;general;sc_basic_and_below_basic;sc_proficient_and_advance;st_basic_and_below_basic;st_proficient_and_advance;obc_basic_and_below_basic;obc_proficient_and_advance;general_basic_and_below_basic;general_proficient_and_advance
Goa;3;30;2022-05-20T00:01:10;2022-05-20T00:01:10;evs;57.75409077;56.39574157;56.16354759;59.36502132;46.26428649;53.73571351;59.98555923;40.01444077;57.14122903;42.85877097;54.06032033;45.93967967
Goa;3;30;2022-05-20T00:01:10;2022-05-20T00:01:10;language;60.11967542;62.33670415;53.56462022;63.71268982;73.42901704;26.57098296;68.74099;31.25901;68.21792549;31.78207451;57.38735002;42.61264998
Goa;3;30;2022-05-20T00:01:10;2022-05-20T00:01:10;math;45.82467673;50.82695471;52.87179653;55.07911004;70.84219933;29.15780067;68.10185295;31.89814705;62.52613951;37.47386049;63.29599654;36.70400346
Goa;5;67;2022-05-20T00:01:11;2022-05-20T00:01:11;evs;37.87198612;43.16430189;43.9914588;45.41384263;97.46623475;2.533765246;69.78221491;30.21778509;79.54282514;20.45717486;74.20567794;25.79432206
Goa;5;67;2022-05-20T00:01:11;2022-05-20T00:01:11;language;48.43356539;57.24666629;54.07016472;54.35649364;64.51547468;35.48452532;53.59397642;46.40602358;55.0971162;44.9028838;58.14746161;41.85253839
Goa;5;67;2022-05-20T00:01:11;2022-05-20T00:01:11;math;34.36980952;38.05670488;38.59334302;39.2242434;86.16722327;13.83277673;84.4341271;15.5658729;80.90254847;19.09745153;84.52083677;15.47916323
Goa;8;104;2022-05-20T00:01:11;2022-05-20T00:01:11;language;59.81329209;53.91882176;56.23507729;64.03394245;53.58689334;46.41310666;67.75505681;32.24494319;64.85866888;35.14133112;44.71623003;55.28376997
Goa;8;104;2022-05-20T00:01:11;2022-05-20T00:01:11;math;31.20755294;29.65955397;29.5754722;33.1279849;93.59442853;6.405571466;92.99461621;7.005383793;86.23300784;13.76699216;82.44097153;17.55902847
Goa;8;104;2022-05-20T00:01:11;2022-05-20T00:01:11;sci;36.37188408;34.08753453;40.72227793;45.30461767;75.33086728;24.66913272;86.079582;13.920418;71.24765079;28.75234921;58.28532698;41.71467302
Goa;8;104;2022-05-20T00:01:11;2022-05-20T00:01:11;sst;35.38037274;33.49367807;38.80500829;38.55458118;79.4836599;20.5163401;98.04672656;1.953273441;86.49289651;13.50710349;83.95844373;16.04155627
Goa;10;141;2022-05-20T00:01:11;2022-05-20T00:01:11;eng;58.713486;52.104687;62.41824;64.932785;19.532509;80.46749;13.686043;86.31396;9.1776285;90.82237;11.058133;88.941864
Goa;10;141;2022-05-20T00:01:11;2022-05-20T00:01:11;math;26.861595;27.069544;27.713062;32.014652;96.439674;3.5603292;91.38998;8.610022;91.820335;8.179667;81.03272;18.96728
Goa;10;141;2022-05-20T00:01:11;2022-05-20T00:01:11;mil;29.20391;31.645956;35.14582;31.924791;100;0;99.38636;0.61364037;99.087845;0.91215694;97.43221;2.5677903
Goa;10;141;2022-05-20T00:01:11;2022-05-20T00:01:11;sci;45.216667;34.861816;38.2326;41.51283;63.813908;36.186092;96.03494;3.9650552;91.157;8.843;83.55454;16.445456
Goa;10;141;2022-05-20T00:01:11;2022-05-20T00:01:11;sst;39.87426;36.520916;41.537643;46.251137;75.20472;24.79528;93.00906;6.9909325;78.63073;21.36927;67.37091;32.629086
