state_name;grade;id;created_at;updated_at;subject;urban;rural;rural_basic_and_below_basic;rural_proficient_and_advance;urban_basic_and_below_basic;urban_proficient_and_advance
Gujarat;3;24;2022-05-20T00:01:10;2022-05-20T00:01:10;evs;59.16291035;61.84412392;48.69020227;51.30979773;54.38546069;45.61453931
Gujarat;3;24;2022-05-20T00:01:10;2022-05-20T00:01:10;language;63.9061642;67.00119895;56.79608782;43.20391218;60.602259;39.397741
Gujarat;3;24;2022-05-20T00:01:10;2022-05-20T00:01:10;math;58.12396314;59.93147964;53.91106117;46.08893883;57.00439239;42.99560761
Gujarat;5;61;2022-05-20T00:01:11;2022-05-20T00:01:11;evs;48.94211629;50.81848833;64.45748746;35.54251254;69.9472328;30.0527672
Gujarat;5;61;2022-05-20T00:01:11;2022-05-20T00:01:11;language;55.15229429;54.91538267;62.00557256;37.99442744;60.47291405;39.52708595
Gujarat;5;61;2022-05-20T00:01:11;2022-05-20T00:01:11;math;43.60354336;46.15268999;72.60119399;27.39880601;77.76180479;22.23819521
Gujarat;8;98;2022-05-20T00:01:11;2022-05-20T00:01:11;language;58.93927359;54.79384406;66.23554709;33.76445291;57.48964023;42.51035977
Gujarat;8;98;2022-05-20T00:01:11;2022-05-20T00:01:11;math;35.27639898;36.40200373;71.2328564;28.7671436;77.41949986;22.58050014
Gujarat;8;98;2022-05-20T00:01:11;2022-05-20T00:01:11;sci;41.05973874;40.41841229;70.77241304;29.22758696;70.55362335;29.44637665
Gujarat;8;98;2022-05-20T00:01:11;2022-05-20T00:01:11;sst;39.18478635;39.86270591;79.10617553;20.89382447;84.273785;15.726215
Gujarat;10;135;2022-05-20T00:01:11;2022-05-20T00:01:11;eng;44.5468;38.355488;47.390152;52.609848;34.17858;65.82142
Gujarat;10;135;2022-05-20T00:01:11;2022-05-20T00:01:11;math;30.176939;29.429394;85.78137;14.218625;84.70064;15.299364
Gujarat;10;135;2022-05-20T00:01:11;2022-05-20T00:01:11;mil;44.532726;41.162926;93.145775;6.8542237;89.27334;10.726662
Gujarat;10;135;2022-05-20T00:01:11;2022-05-20T00:01:11;sci;35.102535;32.67023;96.219505;3.7804916;93.98355;6.016452
Gujarat;10;135;2022-05-20T00:01:11;2022-05-20T00:01:11;sst;39.126427;36.337852;89.568924;10.431078;84.8543;15.145697
