state_name;grade;id;created_at;updated_at;subject;boys;girls;trans_gender;boys_basic_and_below_basic;boys_proficient_and_advance;girls_basic_and_below_basic;girls_proficient_and_advance
Jammu & Kashmir;3;1;2022-05-20T00:01:10;2022-05-20T00:01:10;evs;58.15296276;60.55143114;0;56.4032348;43.5967652;52.24223313;47.75776687
Jammu & Kashmir;3;1;2022-05-20T00:01:10;2022-05-20T00:01:10;language;64.526829;67.89128604;0;58.33296286;41.66703714;53.70576291;46.29423709
Jammu & Kashmir;3;1;2022-05-20T00:01:10;2022-05-20T00:01:10;math;58.58247857;59.29945716;0;55.95699834;44.04300166;56.12826859;43.87173141
Jammu & Kashmir;5;38;2022-05-20T00:01:11;2022-05-20T00:01:11;evs;52.88359126;55.92794936;0;61.54418166;38.45581834;54.55422003;45.44577997
Jammu & Kashmir;5;38;2022-05-20T00:01:11;2022-05-20T00:01:11;language;59.31219766;63.394736;0;52.21694047;47.78305953;42.98839363;57.01160637
Jammu & Kashmir;5;38;2022-05-20T00:01:11;2022-05-20T00:01:11;math;48.09017926;47.47830706;0;70.21357833;29.78642167;70.768111;29.231889
Jammu & Kashmir;8;75;2022-05-20T00:01:11;2022-05-20T00:01:11;language;55.61279251;61.15830154;0;60.7328197;39.2671803;49.88304438;50.11695562
Jammu & Kashmir;8;75;2022-05-20T00:01:11;2022-05-20T00:01:11;math;38.97433584;39.20657518;0;64.67073194;35.32926806;63.40321584;36.59678416
Jammu & Kashmir;8;75;2022-05-20T00:01:11;2022-05-20T00:01:11;sci;43.56182833;46.90600824;0;62.77709571;37.22290429;55.89285401;44.10714599
Jammu & Kashmir;8;75;2022-05-20T00:01:11;2022-05-20T00:01:11;sst;41.20123074;44.27014733;0;73.80500029;26.19499971;67.3855708;32.6144292
Jammu & Kashmir;10;112;2022-05-20T00:01:11;2022-05-20T00:01:11;eng;48.23942;51.463657;0;33.034237;66.96576;27.41431;72.58569
Jammu & Kashmir;10;112;2022-05-20T00:01:11;2022-05-20T00:01:11;math;31.611105;30.004261;0;77.6423;22.357697;79.70874;20.291262
Jammu & Kashmir;10;112;2022-05-20T00:01:11;2022-05-20T00:01:11;mil;34.59454;36.997787;0;94.30942;5.6905828;91.52383;8.476173
Jammu & Kashmir;10;112;2022-05-20T00:01:11;2022-05-20T00:01:11;sci;37.49934;37.697918;0;85.9173;14.082705;86.240074;13.759926
Jammu & Kashmir;10;112;2022-05-20T00:01:11;2022-05-20T00:01:11;sst;39.13234;39.153763;0;79.12999;20.870012;78.164856;21.835144
