state_name;grade;id;created_at;updated_at;subject;urban;rural;rural_basic_and_below_basic;rural_proficient_and_advance;urban_basic_and_below_basic;urban_proficient_and_advance
Jammu & Kashmir;3;1;2022-05-20T00:01:10;2022-05-20T00:01:10;evs;61.83567867;57.73383583;57.90414457;42.09585543;48.78542279;51.21457721
Jammu & Kashmir;3;1;2022-05-20T00:01:10;2022-05-20T00:01:10;language;70.07055442;63.69364744;60.77233816;39.22766184;48.66803014;51.33196986
Jammu & Kashmir;3;1;2022-05-20T00:01:10;2022-05-20T00:01:10;math;60.68764668;57.81699172;57.6517828;42.3482172;53.5010397;46.4989603
Jammu & Kashmir;5;38;2022-05-20T00:01:11;2022-05-20T00:01:11;evs;58.96440091;51.73004544;62.41586033;37.58413967;50.55459291;49.44540709
Jammu & Kashmir;5;38;2022-05-20T00:01:11;2022-05-20T00:01:11;language;67.84869476;57.49955008;54.41616841;45.58383159;36.06895065;63.93104935
Jammu & Kashmir;5;38;2022-05-20T00:01:11;2022-05-20T00:01:11;math;49.17061947;46.93766033;71.56186872;28.43813128;68.7307674;31.2692326
Jammu & Kashmir;8;75;2022-05-20T00:01:11;2022-05-20T00:01:11;language;69.22967579;51.56710869;67.78132475;32.21867525;35.40017174;64.59982826
Jammu & Kashmir;8;75;2022-05-20T00:01:11;2022-05-20T00:01:11;math;43.66755145;36.11802819;69.95485259;30.04514741;54.87934023;45.12065977
Jammu & Kashmir;8;75;2022-05-20T00:01:11;2022-05-20T00:01:11;sci;52.64411403;40.53171009;69.13697934;30.86302066;43.88871206;56.11128794
Jammu & Kashmir;8;75;2022-05-20T00:01:11;2022-05-20T00:01:11;sst;48.6692551;38.96830841;79.17870292;20.82129708;57.10829727;42.89170273
Jammu & Kashmir;10;112;2022-05-20T00:01:11;2022-05-20T00:01:11;eng;59.767204;44.335274;37.795288;62.204712;16.524736;83.475266
Jammu & Kashmir;10;112;2022-05-20T00:01:11;2022-05-20T00:01:11;math;33.771942;29.08974;82.81502;17.18498;71.46947;28.530533
Jammu & Kashmir;10;112;2022-05-20T00:01:11;2022-05-20T00:01:11;mil;39.58618;33.734085;95.01663;4.983371;89.04042;10.959576
Jammu & Kashmir;10;112;2022-05-20T00:01:11;2022-05-20T00:01:11;sci;42.27621;34.943535;89.73009;10.26991;79.6985;20.301497
Jammu & Kashmir;10;112;2022-05-20T00:01:11;2022-05-20T00:01:11;sst;45.31346;35.63105;84.95469;15.04531;67.501884;32.49811
