state_name;grade;id;created_at;updated_at;subject;boys;girls;trans_gender;boys_basic_and_below_basic;boys_proficient_and_advance;girls_basic_and_below_basic;girls_proficient_and_advance
Jharkhand;3;20;2022-05-20T00:01:10;2022-05-20T00:01:10;evs;53.41926078;53.90907604;0;63.19644476;36.80355524;61.96723516;38.03276484
Jharkhand;3;20;2022-05-20T00:01:10;2022-05-20T00:01:10;language;57.47800092;57.7866178;0;66.73941611;33.26058389;66.73528189;33.26471811
Jharkhand;3;20;2022-05-20T00:01:10;2022-05-20T00:01:10;math;53.54398098;53.0673673;0;62.99445968;37.00554032;63.47945434;36.52054566
Jharkhand;5;57;2022-05-20T00:01:11;2022-05-20T00:01:11;evs;45.45641326;46.36514413;0;71.55028135;28.44971865;70.36135433;29.63864567
Jharkhand;5;57;2022-05-20T00:01:11;2022-05-20T00:01:11;language;51.40146357;53.01118653;0;64.38299334;35.61700666;60.77301642;39.22698358
Jharkhand;5;57;2022-05-20T00:01:11;2022-05-20T00:01:11;math;40.64571633;39.91830736;0;78.75410367;21.24589633;79.88653108;20.11346892
Jharkhand;8;94;2022-05-20T00:01:11;2022-05-20T00:01:11;language;51.5015155;51.27468456;0;69.61549154;30.38450846;69.45631528;30.54368472
Jharkhand;8;94;2022-05-20T00:01:11;2022-05-20T00:01:11;math;37.50511872;35.13194447;0;69.33590293;30.66409707;73.52993506;26.47006494
Jharkhand;8;94;2022-05-20T00:01:11;2022-05-20T00:01:11;sci;39.72809847;38.47204986;0;71.02039871;28.97960129;74.47765586;25.52234414
Jharkhand;8;94;2022-05-20T00:01:11;2022-05-20T00:01:11;sst;39.45088949;39.15683165;0;79.70115862;20.29884138;79.93159977;20.06840023
Jharkhand;10;131;2022-05-20T00:01:11;2022-05-20T00:01:11;eng;42.636944;39.230167;0;40.468613;59.531387;46.258976;53.741024
Jharkhand;10;131;2022-05-20T00:01:11;2022-05-20T00:01:11;math;32.766045;30.173155;0;75.95083;24.049175;80.93338;19.066622
Jharkhand;10;131;2022-05-20T00:01:11;2022-05-20T00:01:11;mil;40.695145;38.930424;0;89.77879;10.221209;90.99008;9.009917
Jharkhand;10;131;2022-05-20T00:01:11;2022-05-20T00:01:11;sci;35.530502;33.27977;0;91.359474;8.640525;94.26604;5.733964
Jharkhand;10;131;2022-05-20T00:01:11;2022-05-20T00:01:11;sst;38.41963;36.504105;0;83.69828;16.301722;87.42225;12.577753
