state_name;grade;id;created_at;updated_at;subject;boys;girls;trans_gender;boys_basic_and_below_basic;boys_proficient_and_advance;girls_basic_and_below_basic;girls_proficient_and_advance
Madhya Pradesh;3;23;2022-05-20T00:01:10;2022-05-20T00:01:10;evs;61.10914059;62.06372675;0;50.6831944;49.3168056;48.93631329;51.06368671
Madhya Pradesh;3;23;2022-05-20T00:01:10;2022-05-20T00:01:10;language;65.02851908;66.30029557;0;58.37918414;41.62081586;56.52950255;43.47049745
Madhya Pradesh;3;23;2022-05-20T00:01:10;2022-05-20T00:01:10;math;60.80859652;61.135517;0;51.84249814;48.15750186;51.51638507;48.48361493
Madhya Pradesh;5;60;2022-05-20T00:01:11;2022-05-20T00:01:11;evs;52.78031875;55.12254211;0;61.15853325;38.84146675;57.09724496;42.90275504
Madhya Pradesh;5;60;2022-05-20T00:01:11;2022-05-20T00:01:11;language;57.23308936;60.38994157;0;56.0105949;43.9894051;50.58053439;49.41946561
Madhya Pradesh;5;60;2022-05-20T00:01:11;2022-05-20T00:01:11;math;48.17630151;48.78446232;0;68.71578751;31.28421249;68.02547591;31.97452409
Madhya Pradesh;8;97;2022-05-20T00:01:11;2022-05-20T00:01:11;language;54.21894045;56.33259512;0;65.00770099;34.99229901;61.79054728;38.20945272
Madhya Pradesh;8;97;2022-05-20T00:01:11;2022-05-20T00:01:11;math;40.82225427;41.03817407;0;62.74754283;37.25245717;63.07219075;36.92780925
Madhya Pradesh;8;97;2022-05-20T00:01:11;2022-05-20T00:01:11;sci;41.54596651;41.49880044;0;65.82327693;34.17672307;66.07746318;33.92253682
Madhya Pradesh;8;97;2022-05-20T00:01:11;2022-05-20T00:01:11;sst;41.64452175;42.45848739;0;75.34048192;24.65951808;74.74133333;25.25866667
Madhya Pradesh;10;134;2022-05-20T00:01:11;2022-05-20T00:01:11;eng;41.99005;42.633083;0;41.640434;58.359566;39.354404;60.645596
Madhya Pradesh;10;134;2022-05-20T00:01:11;2022-05-20T00:01:11;math;33.557976;33.645943;0;73.78769;26.21231;73.621254;26.378746
Madhya Pradesh;10;134;2022-05-20T00:01:11;2022-05-20T00:01:11;mil;43.5476;44.34942;0;86.81142;13.1885805;86.20638;13.793616
Madhya Pradesh;10;134;2022-05-20T00:01:11;2022-05-20T00:01:11;sci;35.025204;35.620262;0;91.49005;8.509945;91.320625;8.679375
Madhya Pradesh;10;134;2022-05-20T00:01:11;2022-05-20T00:01:11;sst;36.83628;37.36619;0;85.86953;14.13047;84.981445;15.018552
