state_name;grade;id;created_at;updated_at;subject;boys;girls;trans_gender;boys_basic_and_below_basic;boys_proficient_and_advance;girls_basic_and_below_basic;girls_proficient_and_advance
Meghalaya;3;17;2022-05-20T00:01:10;2022-05-20T00:01:10;evs;49.86111585;48.95174015;0;68.82224671;31.17775329;69.73248511;30.26751489
Meghalaya;3;17;2022-05-20T00:01:10;2022-05-20T00:01:10;language;52.00601519;51.74960172;0;72.09170713;27.90829287;73.15444542;26.84555458
Meghalaya;3;17;2022-05-20T00:01:10;2022-05-20T00:01:10;math;45.49063387;43.68238213;0;74.82718717;25.17281283;77.87254734;22.12745266
Meghalaya;5;54;2022-05-20T00:01:11;2022-05-20T00:01:11;evs;39.77772982;39.29516382;0;81.92701535;18.07298465;83.68667203;16.31332797
Meghalaya;5;54;2022-05-20T00:01:11;2022-05-20T00:01:11;language;46.9330439;47.06055549;0;72.09015297;27.90984703;72.87560325;27.12439675
Meghalaya;5;54;2022-05-20T00:01:11;2022-05-20T00:01:11;math;33.92273179;32.44425498;0;89.45397312;10.54602688;90.958312;9.041687997
Meghalaya;8;91;2022-05-20T00:01:11;2022-05-20T00:01:11;language;42.27935063;44.46333178;0;81.36743287;18.63256713;77.96224846;22.03775154
Meghalaya;8;91;2022-05-20T00:01:11;2022-05-20T00:01:11;math;28.20660474;27.86261281;0;93.06860735;6.931392651;93.46734577;6.53265423
Meghalaya;8;91;2022-05-20T00:01:11;2022-05-20T00:01:11;sci;33.7648083;33.33968153;0;87.01659849;12.98340151;87.8176192;12.1823808
Meghalaya;8;91;2022-05-20T00:01:11;2022-05-20T00:01:11;sst;32.73158163;32.8518711;0;92.08884601;7.911153992;93.30757915;6.692420847
Meghalaya;10;128;2022-05-20T00:01:11;2022-05-20T00:01:11;eng;43.246468;44.445763;0;40.557354;59.442646;37.104237;62.895763
Meghalaya;10;128;2022-05-20T00:01:11;2022-05-20T00:01:11;math;27.286943;25.68307;0;89.83112;10.168877;94.42655;5.573451
Meghalaya;10;128;2022-05-20T00:01:11;2022-05-20T00:01:11;mil;26.35545;27.289783;0;98.47721;1.5227888;98.390656;1.6093453
Meghalaya;10;128;2022-05-20T00:01:11;2022-05-20T00:01:11;sci;32.384537;31.794455;0;95.681786;4.3182163;96.75719;3.242817
Meghalaya;10;128;2022-05-20T00:01:11;2022-05-20T00:01:11;sst;33.49474;33.456417;0;90.99477;9.00523;93.5635;6.4364996
