state_name;grade;id;created_at;updated_at;subject;govt;govt_aided;private;central_govt;govt_basic_and_below_basic;govt_proficient_and_advance;govt_aided_basic_and_below_basic;govt_aided_proficient_and_advance;private_basic_and_below_basic;private_proficient_and_advance;central_govt_basic_and_below_basic;central_govt_proficient_and_advance
National Average;3;1;2022-05-20T00:01:10;2022-05-20T00:01:10;evs;58.40348721;58.30860881;57.09158137;51.942601;53.44652986;46.55347014;53.97037533;46.02962467;57.83405619;42.16594381;66.44954222;33.55045778
National Average;3;1;2022-05-20T00:01:10;2022-05-20T00:01:10;language;62.50796321;62.40393766;62.1443366;56.39135554;60.40084144;39.59915856;60.13867283;39.86132717;60.74739163;39.25260837;69.57197665;30.42802335
National Average;3;1;2022-05-20T00:01:10;2022-05-20T00:01:10;math;57.85423073;56.91214314;57.0842152;51.57573244;55.33898741;44.66101259;57.15207878;42.84792122;58.33037765;41.66962235;68.87849257;31.12150743
National Average;5;38;2022-05-20T00:01:11;2022-05-20T00:01:11;evs;49.33253497;46.78064739;48.25691041;48.35516029;64.3809197;35.6190803;70.63577358;29.36422642;70.42412899;29.57587101;68.87904469;31.12095531
National Average;5;38;2022-05-20T00:01:11;2022-05-20T00:01:11;language;54.56100059;53.4649476;56.57254361;55.61182311;59.30078222;40.69921778;61.40727513;38.59272487;56.45440554;43.54559446;57.29424724;42.70575276
National Average;5;38;2022-05-20T00:01:11;2022-05-20T00:01:11;math;44.6902574;41.59514557;43.3781503;44.15004471;71.93860745;28.06139255;78.05541605;21.94458395;77.45417432;22.54582568;76.13522612;23.86477388
National Average;8;75;2022-05-20T00:01:11;2022-05-20T00:01:11;language;48.12733449;47.90598433;59.95103193;58.93358123;74.67000463;25.32999537;75.33804079;24.66195921;53.86697979;46.13302021;55.87553628;44.12446372
National Average;8;75;2022-05-20T00:01:11;2022-05-20T00:01:11;math;35.95920382;31.04978189;38.25723018;38.71238232;72.38917677;27.61082323;83.78790758;16.21209242;69.57149777;30.42850223;68.24663736;31.75336264
National Average;8;75;2022-05-20T00:01:11;2022-05-20T00:01:11;sci;37.69381139;34.76872477;42.95734051;43.52439289;74.93616072;25.06383928;83.23074042;16.76925958;64.74855406;35.25144594;62.87141727;37.12858273
National Average;8;75;2022-05-20T00:01:11;2022-05-20T00:01:11;sst;39.00808696;35.89204117;41.41982931;40.12525968;78.84192034;21.15807966;86.91961954;13.08038046;77.73209114;22.26790886;79.20219037;20.79780963
National Average;10;112;2022-05-20T00:01:11;2022-05-20T00:01:11;eng;38.567654;37.36584;49.531662;54.398987;47.353676;52.646324;49.202354;50.797646;31.150866;68.84914;24.130646;75.869354
National Average;10;112;2022-05-20T00:01:11;2022-05-20T00:01:11;math;31.937347;28.51691;33.653362;36.15324;77.82412;22.17588;86.817604;13.1824;73.78937;26.210632;66.081566;33.918434
National Average;10;112;2022-05-20T00:01:11;2022-05-20T00:01:11;mil;39.490612;40.1756;43.15713;45.068398;92.02213;7.977865;92.409164;7.590834;86.566635;13.433366;80.88267;19.11733
National Average;10;112;2022-05-20T00:01:11;2022-05-20T00:01:11;sci;33.543365;31.599247;37.352127;40.67763;93.23836;6.761642;97.74145;2.2585533;87.35978;12.640217;80.73254;19.267462
National Average;10;112;2022-05-20T00:01:11;2022-05-20T00:01:11;sst;35.368954;33.817318;40.248127;44.11123;89.095055;10.904948;93.201584;6.7984185;78.629135;21.370865;70.64114;29.358854
