state_name;grade;id;created_at;updated_at;subject;urban;rural;rural_basic_and_below_basic;rural_proficient_and_advance;urban_basic_and_below_basic;urban_proficient_and_advance
Tripura;3;16;2022-05-20T00:01:10;2022-05-20T00:01:10;evs;50.86577107;53.21928081;63.44640608;36.55359392;67.63144318;32.36855682
Tripura;3;16;2022-05-20T00:01:10;2022-05-20T00:01:10;language;55.63658923;58.25124884;66.02038548;33.97961452;70.88200277;29.11799723
Tripura;3;16;2022-05-20T00:01:10;2022-05-20T00:01:10;math;49.41574908;51.45586901;65.62340485;34.37659515;74.68853943;25.31146057
Tripura;5;53;2022-05-20T00:01:11;2022-05-20T00:01:11;evs;46.81069914;45.54917107;73.19127246;26.80872754;69.93615803;30.06384197
Tripura;5;53;2022-05-20T00:01:11;2022-05-20T00:01:11;language;55.63406039;51.23157548;65.66446832;34.33553168;59.10282439;40.89717561
Tripura;5;53;2022-05-20T00:01:11;2022-05-20T00:01:11;math;39.08506997;39.72124507;82.71197548;17.28802452;82.51804104;17.48195896
Tripura;8;90;2022-05-20T00:01:11;2022-05-20T00:01:11;language;61.97500457;49.6941475;73.64716079;26.35283921;50.32164658;49.67835342
Tripura;8;90;2022-05-20T00:01:11;2022-05-20T00:01:11;math;38.26631966;34.03985061;79.23955947;20.76044053;67.54135005;32.45864995
Tripura;8;90;2022-05-20T00:01:11;2022-05-20T00:01:11;sci;45.98390205;37.68130755;75.64168269;24.35831731;54.10120115;45.89879885
Tripura;8;90;2022-05-20T00:01:11;2022-05-20T00:01:11;sst;43.98840205;38.44185517;82.5827629;17.4172371;73.38089117;26.61910883
Tripura;10;127;2022-05-20T00:01:11;2022-05-20T00:01:11;eng;48.29742;39.824627;45.513817;54.486183;34.080677;65.91932
Tripura;10;127;2022-05-20T00:01:11;2022-05-20T00:01:11;math;32.476322;29.647139;84.28199;15.718011;79.32771;20.672287
Tripura;10;127;2022-05-20T00:01:11;2022-05-20T00:01:11;mil;42.03387;36.809258;95.581215;4.418783;92.111015;7.8889837
Tripura;10;127;2022-05-20T00:01:11;2022-05-20T00:01:11;sci;36.057198;32.293785;95.896454;4.1035476;88.8305;11.169501
Tripura;10;127;2022-05-20T00:01:11;2022-05-20T00:01:11;sst;40.29471;33.87669;91.798706;8.201295;80.635445;19.364557
