state_name;grade;id;created_at;updated_at;subject;state_average;national_average;state_average_scaled_2021;state_average_scaled_2017;below_basic;basic;proficient;advanced
West Bengal;3;19;2022-05-20T00:01:10;2022-05-20T00:01:10;evs;60.84355329;57.41111026;314;334;18.99378865;30.39567206;35.92439042;14.68614887
West Bengal;3;19;2022-05-20T00:01:10;2022-05-20T00:01:10;language;67.25706054;61.88003463;337;356;24.39978392;27.01306899;28.97523266;19.61191444
West Bengal;3;19;2022-05-20T00:01:10;2022-05-20T00:01:10;math;59.92867927;56.94394351;313;337;20.49051363;31.16263496;33.10416328;15.24268812
West Bengal;5;56;2022-05-20T00:01:11;2022-05-20T00:01:11;evs;51.90702299;48.48748114;292;304;28.70427808;32.69766352;30.54038522;8.057673185
West Bengal;5;56;2022-05-20T00:01:11;2022-05-20T00:01:11;language;59.26856322;55.19833154;318;317;17.89092464;32.97765502;35.15303312;13.97838722
West Bengal;5;56;2022-05-20T00:01:11;2022-05-20T00:01:11;math;45.16154387;43.71621283;288;301;33.30205473;39.72117192;18.63037512;8.346398224
West Bengal;8;93;2022-05-20T00:01:11;2022-05-20T00:01:11;language;56.83198539;52.97309821;315;303;18.61653018;37.59681819;24.20474587;19.58190576
West Bengal;8;93;2022-05-20T00:01:11;2022-05-20T00:01:11;math;36.87637787;36.02218948;258;261;26.78779328;45.23381663;18.74691726;9.231472834
West Bengal;8;93;2022-05-20T00:01:11;2022-05-20T00:01:11;sci;42.42050276;39.38511521;260;269;31.39519598;32.23537961;23.91789548;12.45152893
West Bengal;8;93;2022-05-20T00:01:11;2022-05-20T00:01:11;sst;42.15994701;39.33958349;265;265;31.94424334;41.75188388;15.62442532;10.67944745
West Bengal;10;130;2022-05-20T00:01:11;2022-05-20T00:01:11;eng;43.99815;43.18472;279;0;21.868933;16.41739;42.298492;19.415184
West Bengal;10;130;2022-05-20T00:01:11;2022-05-20T00:01:11;math;30.59602;32.09475;214;0;34.328712;46.874306;14.173735;4.6232467
West Bengal;10;130;2022-05-20T00:01:11;2022-05-20T00:01:11;mil;43.210922;41.25734;265;0;48.09596;38.34273;13.134932;0.42637885
West Bengal;10;130;2022-05-20T00:01:11;2022-05-20T00:01:11;sci;35.08025;34.924866;205;0;75.127365;16.597464;6.724767;1.5504016
West Bengal;10;130;2022-05-20T00:01:11;2022-05-20T00:01:11;sst;37.328453;37.30951;232;0;59.788723;25.207695;12.805609;2.1979728
