state_name;grade;id;created_at;updated_at;subject;urban;rural;rural_basic_and_below_basic;rural_proficient_and_advance;urban_basic_and_below_basic;urban_proficient_and_advance
Andaman & Nicobar Islands;3;35;2022-05-20T00:01:10;2022-05-20T00:01:10;evs;51.84683142;63.31681809;48.48377608;51.51622392;71.47693868;28.52306132
Andaman & Nicobar Islands;3;35;2022-05-20T00:01:10;2022-05-20T00:01:10;language;60.92350524;63.40773958;56.71045764;43.28954236;63.6115999;36.3884001
Andaman & Nicobar Islands;3;35;2022-05-20T00:01:10;2022-05-20T00:01:10;math;47.67932302;59.33478506;56.41923141;43.58076859;74.95432294;25.04567706
Andaman & Nicobar Islands;5;72;2022-05-20T00:01:11;2022-05-20T00:01:11;evs;47.16635168;52.41929774;62.22996755;37.77003245;71.09356553;28.90643447
Andaman & Nicobar Islands;5;72;2022-05-20T00:01:11;2022-05-20T00:01:11;language;54.89926153;55.59303852;57.99607497;42.00392503;58.72498293;41.27501707
Andaman & Nicobar Islands;5;72;2022-05-20T00:01:11;2022-05-20T00:01:11;math;39.06803587;45.33820532;76.45669681;23.54330319;86.2163523;13.7836477
Andaman & Nicobar Islands;8;109;2022-05-20T00:01:11;2022-05-20T00:01:11;language;59.46261326;48.94789048;74.57432217;25.42567783;55.38872274;44.61127726
Andaman & Nicobar Islands;8;109;2022-05-20T00:01:11;2022-05-20T00:01:11;math;34.33637366;32.48550168;83.26071151;16.73928849;75.68835153;24.31164847
Andaman & Nicobar Islands;8;109;2022-05-20T00:01:11;2022-05-20T00:01:11;sci;42.71414574;39.05034998;74.92738458;25.07261542;65.12259193;34.87740807
Andaman & Nicobar Islands;8;109;2022-05-20T00:01:11;2022-05-20T00:01:11;sst;37.40297222;35.38932949;88.93740565;11.06259435;87.25783991;12.74216009
Andaman & Nicobar Islands;10;146;2022-05-20T00:01:11;2022-05-20T00:01:11;eng;57.925114;50.491577;23.962282;76.03772;20.03959;79.96041
Andaman & Nicobar Islands;10;146;2022-05-20T00:01:11;2022-05-20T00:01:11;math;34.084538;31.439848;79.74087;20.259132;64.32278;35.67722
Andaman & Nicobar Islands;10;146;2022-05-20T00:01:11;2022-05-20T00:01:11;mil;41.42474;36.583355;94.77939;5.220611;87.51396;12.486039
Andaman & Nicobar Islands;10;146;2022-05-20T00:01:11;2022-05-20T00:01:11;sci;41.856525;38.87637;87.0516;12.948401;78.31188;21.688116
Andaman & Nicobar Islands;10;146;2022-05-20T00:01:11;2022-05-20T00:01:11;sst;43.03495;38.928425;81.05591;18.944094;77.042046;22.957958
