state_name;grade;id;created_at;updated_at;subject;urban;rural;rural_basic_and_below_basic;rural_proficient_and_advance;urban_basic_and_below_basic;urban_proficient_and_advance
Arunachal Pradesh;3;12;2022-05-20T00:01:10;2022-05-20T00:01:10;evs;43.94788951;50.24043583;69.82636783;30.17363217;79.62264846;20.37735154
Arunachal Pradesh;3;12;2022-05-20T00:01:10;2022-05-20T00:01:10;language;49.26913367;52.04396467;75.14331588;24.85668412;77.17583657;22.82416343
Arunachal Pradesh;3;12;2022-05-20T00:01:10;2022-05-20T00:01:10;math;41.54286853;46.46402031;76.87285299;23.12714701;83.8818985;16.1181015
Arunachal Pradesh;5;49;2022-05-20T00:01:11;2022-05-20T00:01:11;evs;43.72778889;42.03068081;81.15851743;18.84148257;77.73787317;22.26212683
Arunachal Pradesh;5;49;2022-05-20T00:01:11;2022-05-20T00:01:11;language;50.92771986;48.91875831;67.76304771;32.23695229;63.59528335;36.40471665
Arunachal Pradesh;5;49;2022-05-20T00:01:11;2022-05-20T00:01:11;math;37.22793735;35.42844197;90.52328047;9.476719526;87.03687859;12.96312141
Arunachal Pradesh;8;86;2022-05-20T00:01:11;2022-05-20T00:01:11;language;58.85105571;52.27208518;66.26515173;33.73484827;56.62464889;43.37535111
Arunachal Pradesh;8;86;2022-05-20T00:01:11;2022-05-20T00:01:11;math;32.16844485;31.44784299;85.05382296;14.94617704;84.12587363;15.87412637
Arunachal Pradesh;8;86;2022-05-20T00:01:11;2022-05-20T00:01:11;sci;41.92667271;38.43071988;76.85608456;23.14391544;71.18098568;28.81901432
Arunachal Pradesh;8;86;2022-05-20T00:01:11;2022-05-20T00:01:11;sst;38.78255737;36.69431911;87.66461239;12.33538761;83.35965273;16.64034727
Arunachal Pradesh;10;123;2022-05-20T00:01:11;2022-05-20T00:01:11;eng;54.48852;53.018406;23.834116;76.165886;21.87127;78.12873
Arunachal Pradesh;10;123;2022-05-20T00:01:11;2022-05-20T00:01:11;math;28.114307;27.169477;90.85956;9.140438;87.37482;12.625184
Arunachal Pradesh;10;123;2022-05-20T00:01:11;2022-05-20T00:01:11;mil;35.43808;34.221527;94.108116;5.8918843;93.86941;6.130593
Arunachal Pradesh;10;123;2022-05-20T00:01:11;2022-05-20T00:01:11;sci;35.829777;35.261616;94.08014;5.9198585;90.87943;9.120568
Arunachal Pradesh;10;123;2022-05-20T00:01:11;2022-05-20T00:01:11;sst;40.56436;39.787907;80.43382;19.566177;82.37088;17.629122
