state_name;grade;id;created_at;updated_at;subject;sc;st;obc;general;sc_basic_and_below_basic;sc_proficient_and_advance;st_basic_and_below_basic;st_proficient_and_advance;obc_basic_and_below_basic;obc_proficient_and_advance;general_basic_and_below_basic;general_proficient_and_advance
Bihar;3;10;2022-05-20T00:01:10;2022-05-20T00:01:10;evs;53.26568366;54.22835517;54.75667495;54.8500648;61.31322985;38.68677015;57.43267605;42.56732395;59.20226672;40.79773328;59.11882333;40.88117667
Bihar;3;10;2022-05-20T00:01:10;2022-05-20T00:01:10;language;58.38664115;58.21380522;59.07875548;60.44183923;65.46634877;34.53365123;64.56845138;35.43154862;64.68525544;35.31474456;62.55866537;37.44133463
Bihar;3;10;2022-05-20T00:01:10;2022-05-20T00:01:10;math;55.98563038;55.94924932;56.35812517;55.93884464;57.68511919;42.31488081;56.65913471;43.34086529;56.0667212;43.9332788;56.81410739;43.18589261
Bihar;5;47;2022-05-20T00:01:11;2022-05-20T00:01:11;evs;45.00989134;44.14111242;46.71474602;51.53907427;70.12758817;29.87241183;73.90000745;26.09999255;68.20062899;31.79937101;62.06715313;37.93284687
Bihar;5;47;2022-05-20T00:01:11;2022-05-20T00:01:11;language;50.99286581;49.0319256;52.65415861;60.10569495;64.09173279;35.90826721;68.67854599;31.32145401;61.22659422;38.77340578;49.02276396;50.97723604
Bihar;5;47;2022-05-20T00:01:11;2022-05-20T00:01:11;math;40.16325446;38.07809147;43.29022809;49.10755113;77.82423211;22.17576789;83.05667405;16.94332595;73.42085215;26.57914785;65.53114381;34.46885619
Bihar;8;84;2022-05-20T00:01:11;2022-05-20T00:01:11;language;42.14107462;47.42231721;47.58455384;56.9723434;81.95390461;18.04609539;71.75201769;28.24798231;74.41141433;25.58858567;57.99770684;42.00229316
Bihar;8;84;2022-05-20T00:01:11;2022-05-20T00:01:11;math;33.43462572;35.98615793;37.88811275;42.05973951;73.96580872;26.03419128;66.33029426;33.66970574;65.35550747;34.64449253;57.49874014;42.50125986
Bihar;8;84;2022-05-20T00:01:11;2022-05-20T00:01:11;sci;34.91034601;37.71277903;38.04113353;43.54471079;78.72729112;21.27270888;75.40428039;24.59571961;72.06906173;27.93093827;61.5135276;38.4864724
Bihar;8;84;2022-05-20T00:01:11;2022-05-20T00:01:11;sst;36.089886;38.50595119;39.82605506;43.78679936;81.73447173;18.26552827;80.05279316;19.94720684;75.41798122;24.58201878;69.91039974;30.08960026
Bihar;10;121;2022-05-20T00:01:11;2022-05-20T00:01:11;eng;30.892342;32.033844;35.1835;44.147045;66.3155;33.684505;65.60892;34.391083;56.562775;43.437225;40.85647;59.14353
Bihar;10;121;2022-05-20T00:01:11;2022-05-20T00:01:11;math;30.205647;29.929506;34.208267;36.427753;80.20917;19.790836;79.81474;20.185257;69.80065;30.199348;65.19129;34.808704
Bihar;10;121;2022-05-20T00:01:11;2022-05-20T00:01:11;mil;33.551666;35.155266;37.119335;43.12352;95.19923;4.8007708;95.83814;4.1618576;91.58984;8.410156;83.17811;16.821894
Bihar;10;121;2022-05-20T00:01:11;2022-05-20T00:01:11;sci;29.895163;31.970442;33.16668;36.851547;95.44834;4.5516586;96.16896;3.8310387;92.57107;7.428931;85.123;14.876996
Bihar;10;121;2022-05-20T00:01:11;2022-05-20T00:01:11;sst;31.534687;32.6731;34.147903;39.650528;93.412994;6.5870075;91.73722;8.26278;89.073296;10.926705;77.95172;22.048277
