state_name;grade;id;created_at;updated_at;subject;govt;govt_aided;private;central_govt;govt_basic_and_below_basic;govt_proficient_and_advance;govt_aided_basic_and_below_basic;govt_aided_proficient_and_advance;private_basic_and_below_basic;private_proficient_and_advance;central_govt_basic_and_below_basic;central_govt_proficient_and_advance
Delhi;3;7;2022-05-20T00:01:10;2022-05-20T00:01:10;evs;42.04661406;44.99545605;54.73904577;46.44959817;80.38046005;19.61953995;77.36751345;22.63248655;62.83430241;37.16569759;76.16763357;23.83236643
Delhi;3;7;2022-05-20T00:01:10;2022-05-20T00:01:10;language;43.8621035;48.24763875;60.56053203;51.56607368;82.95433655;17.04566345;78.91828448;21.08171552;62.98377379;37.01622621;75.43746055;24.56253945
Delhi;3;7;2022-05-20T00:01:10;2022-05-20T00:01:10;math;39.96886188;44.27821272;53.6823321;46.61175546;83.31269416;16.68730584;79.62037531;20.37962469;65.66015249;34.33984751;76.89413512;23.10586488
Delhi;5;44;2022-05-20T00:01:11;2022-05-20T00:01:11;evs;36.81819523;42.24185397;51.4982522;48.62756856;87.43328303;12.56671697;82.20390791;17.79609209;65.13550793;34.86449207;70.00875983;29.99124017
Delhi;5;44;2022-05-20T00:01:11;2022-05-20T00:01:11;language;42.92888566;47.26756177;61.95299514;56.02830101;79.34286697;20.65713303;69.8440347;30.1559653;47.18499197;52.81500803;57.3985892;42.6014108
Delhi;5;44;2022-05-20T00:01:11;2022-05-20T00:01:11;math;30.72595088;35.29362669;44.3070237;44.10182695;93.60653708;6.393462924;91.50136185;8.498638146;77.68045767;22.31954233;76.8333745;23.1666255
Delhi;8;81;2022-05-20T00:01:11;2022-05-20T00:01:11;language;48.9909409;51.98286231;68.77015369;60.10168512;77.46263311;22.53736689;69.20107924;30.79892076;36.18552394;63.81447606;52.6118173;47.3881827
Delhi;8;81;2022-05-20T00:01:11;2022-05-20T00:01:11;math;29.58040351;30.09249166;43.50983091;37.66085263;89.99962709;10.00037291;87.97978674;12.02021326;57.87738972;42.12261028;71.49007038;28.50992962
Delhi;8;81;2022-05-20T00:01:11;2022-05-20T00:01:11;sci;34.87620068;35.92541701;49.86653544;44.09271752;85.91984799;14.08015201;80.9480091;19.0519909;47.51330797;52.48669202;62.55762544;37.44237456
Delhi;8;81;2022-05-20T00:01:11;2022-05-20T00:01:11;sst;33.70735038;35.5372202;46.20767926;39.33547545;94.33423035;5.665769655;91.73899859;8.261001414;66.66302536;33.33697464;82.02802943;17.97197057
Delhi;10;118;2022-05-20T00:01:11;2022-05-20T00:01:11;eng;48.086914;53.358383;70.84301;59.300583;24.794464;75.205536;19.054338;80.94566;6.0727415;93.92726;15.080882;84.91912
Delhi;10;118;2022-05-20T00:01:11;2022-05-20T00:01:11;math;29.621994;30.403717;41.40283;35.3276;83.638596;16.361404;81.60625;18.393751;53.838463;46.161537;68.9362;31.063799
Delhi;10;118;2022-05-20T00:01:11;2022-05-20T00:01:11;mil;46.561188;45.56359;51.281563;46.04526;82.21972;17.780285;82.68983;17.310177;71.94773;28.052269;80.745895;19.254103
Delhi;10;118;2022-05-20T00:01:11;2022-05-20T00:01:11;sci;34.495472;36.0174;48.142723;43.453087;93.821014;6.1789827;90.51772;9.482277;65.220634;34.779366;77.980034;22.019968
Delhi;10;118;2022-05-20T00:01:11;2022-05-20T00:01:11;sst;36.90611;38.837116;54.676056;47.149635;88.55481;11.445189;83.401665;16.598335;45.06238;54.93762;63.908787;36.091213
