state_name;grade;id;created_at;updated_at;subject;state_average;national_average;state_average_scaled_2021;state_average_scaled_2017;below_basic;basic;proficient;advanced
Jharkhand;3;20;2022-05-20T00:01:10;2022-05-20T00:01:10;evs;53.68873825;57.41111026;299;325;27.64659084;34.8932375;28.55328259;8.906889071
Jharkhand;3;20;2022-05-20T00:01:10;2022-05-20T00:01:10;language;57.65332439;61.88003463;314;344;34.84310471;31.89403154;23.48306878;9.779794964
Jharkhand;3;20;2022-05-20T00:01:10;2022-05-20T00:01:10;math;53.3203238;56.94394351;298;327;27.76472648;35.46462854;27.49001965;9.280625337
Jharkhand;5;57;2022-05-20T00:01:11;2022-05-20T00:01:11;evs;45.91476362;48.48748114;278;326;38.97328052;31.97676984;24.05362076;4.996328888
Jharkhand;5;57;2022-05-20T00:01:11;2022-05-20T00:01:11;language;52.21264083;55.19833154;303;326;25.66832961;36.88393484;28.50469077;8.94304478
Jharkhand;5;57;2022-05-20T00:01:11;2022-05-20T00:01:11;math;40.27225902;43.71621283;276;321;40.54391007;38.79010817;16.68540419;3.980577567
Jharkhand;8;94;2022-05-20T00:01:11;2022-05-20T00:01:11;language;51.37354112;52.97309821;298;317;24.53082497;45.01381514;18.18360264;12.27175725
Jharkhand;8;94;2022-05-20T00:01:11;2022-05-20T00:01:11;math;36.28041707;36.02218948;256;293;27.30893992;44.19720857;20.64723788;7.846613633
Jharkhand;8;94;2022-05-20T00:01:11;2022-05-20T00:01:11;sci;39.07858362;39.38511521;250;302;37.32732702;35.47461575;18.92339244;8.274664784
Jharkhand;8;94;2022-05-20T00:01:11;2022-05-20T00:01:11;sst;39.29938539;39.33958349;254;307;39.56326866;40.25683348;11.57810072;8.601797142
Jharkhand;10;131;2022-05-20T00:01:11;2022-05-20T00:01:11;eng;40.708233;43.18472;269;238;23.905743;19.84449;42.63898;13.610787
Jharkhand;10;131;2022-05-20T00:01:11;2022-05-20T00:01:11;math;31.294888;32.09475;218;248;29.8653;48.914722;17.097893;4.122086
Jharkhand;10;131;2022-05-20T00:01:11;2022-05-20T00:01:11;mil;39.698204;41.25734;255;232;58.856;31.604803;9.019763;0.51943535
Jharkhand;10;131;2022-05-20T00:01:11;2022-05-20T00:01:11;sci;34.255516;34.924866;204;238;74.46331;18.544245;6.273545;0.7189036
Jharkhand;10;131;2022-05-20T00:01:11;2022-05-20T00:01:11;sst;37.33916;37.30951;231;244;62.048626;23.748882;12.305376;1.8971152
