state_name;grade;id;created_at;updated_at;subject;govt;govt_aided;private;central_govt;govt_basic_and_below_basic;govt_proficient_and_advance;govt_aided_basic_and_below_basic;govt_aided_proficient_and_advance;private_basic_and_below_basic;private_proficient_and_advance;central_govt_basic_and_below_basic;central_govt_proficient_and_advance
Lakshadweep;3;31;2022-05-20T00:01:10;2022-05-20T00:01:10;evs;56.83842536;0;0;50;57.65489869;42.34510131;0;0;0;0;66.66666667;33.33333333
Lakshadweep;3;31;2022-05-20T00:01:10;2022-05-20T00:01:10;language;60.79699939;0;0;54;66.49214318;33.50785682;0;0;0;0;83.33333333;16.66666667
Lakshadweep;3;31;2022-05-20T00:01:10;2022-05-20T00:01:10;math;54.49046824;0;0;53.92156863;68.17018281;31.82981719;0;0;0;0;83.33333333;16.66666667
Lakshadweep;5;68;2022-05-20T00:01:11;2022-05-20T00:01:11;evs;44.59254738;0;0;49.03381643;82.67422712;17.32577288;0;0;0;0;65.2173913;34.7826087
Lakshadweep;5;68;2022-05-20T00:01:11;2022-05-20T00:01:11;language;49.89561593;0;0;55.45454545;72.35038631;27.64961369;0;0;0;0;63.63636364;36.36363636
Lakshadweep;5;68;2022-05-20T00:01:11;2022-05-20T00:01:11;math;41.43426699;0;0;42.39130435;84.59360375;15.40639625;0;0;0;0;86.95652174;13.04347826
Lakshadweep;8;105;2022-05-20T00:01:11;2022-05-20T00:01:11;language;54.25730925;0;0;56.95857988;64.51875169;35.48124831;0;0;0;0;62.13017751;37.86982249
Lakshadweep;8;105;2022-05-20T00:01:11;2022-05-20T00:01:11;math;33.4503429;0;0;33.77728938;85.60331178;14.39668822;0;0;0;0;85.93406593;14.06593407
Lakshadweep;8;105;2022-05-20T00:01:11;2022-05-20T00:01:11;sci;38.43723559;0;0;42.30769231;82.17531289;17.82468711;0;0;0;0;83.58974359;16.41025641
Lakshadweep;8;105;2022-05-20T00:01:11;2022-05-20T00:01:11;sst;35.63825116;0;0;36.69033531;88.89777175;11.10222825;0;0;0;0;84.85207101;15.14792899
Lakshadweep;10;142;2022-05-20T00:01:11;2022-05-20T00:01:11;eng;47.221375;0;0;59.57294;31.224943;68.775055;0;0;0;0;10.449736;89.55026
Lakshadweep;10;142;2022-05-20T00:01:11;2022-05-20T00:01:11;math;26.467703;0;0;31.394558;95.85816;4.1418357;0;0;0;0;76.190475;23.809525
Lakshadweep;10;142;2022-05-20T00:01:11;2022-05-20T00:01:11;mil;32.958687;0;0;36.15363;96.315056;3.6849425;0;0;0;0;94.940475;5.0595236
Lakshadweep;10;142;2022-05-20T00:01:11;2022-05-20T00:01:11;sci;36.052917;0;0;37.951626;92.26352;7.7364826;0;0;0;0;89.55026;10.449736
Lakshadweep;10;142;2022-05-20T00:01:11;2022-05-20T00:01:11;sst;37.86683;0;0;44.96599;84.93562;15.064381;0;0;0;0;77.97619;22.02381
