state_name;grade;id;created_at;updated_at;subject;urban;rural;rural_basic_and_below_basic;rural_proficient_and_advance;urban_basic_and_below_basic;urban_proficient_and_advance
Meghalaya;3;17;2022-05-20T00:01:10;2022-05-20T00:01:10;evs;51.22115476;48.88625429;69.43160412;30.56839588;68.82641994;31.17358006
Meghalaya;3;17;2022-05-20T00:01:10;2022-05-20T00:01:10;language;55.65541166;50.85999694;73.46029041;26.53970959;69.60190505;30.39809495
Meghalaya;3;17;2022-05-20T00:01:10;2022-05-20T00:01:10;math;44.72279678;44.49779786;75.30158114;24.69841886;80.54784787;19.45215213
Meghalaya;5;54;2022-05-20T00:01:11;2022-05-20T00:01:11;evs;43.75073055;37.83337638;85.45495197;14.54504803;76.27407226;23.72592774
Meghalaya;5;54;2022-05-20T00:01:11;2022-05-20T00:01:11;language;54.46162772;43.95878539;77.69360035;22.30639965;59.6596486;40.3403514
Meghalaya;5;54;2022-05-20T00:01:11;2022-05-20T00:01:11;math;34.83086199;32.51140434;90.58149002;9.418509978;89.23622322;10.76377678
Meghalaya;8;91;2022-05-20T00:01:11;2022-05-20T00:01:11;language;53.54052567;39.27345136;86.27017903;13.72982097;63.28532265;36.71467735
Meghalaya;8;91;2022-05-20T00:01:11;2022-05-20T00:01:11;math;28.40012036;27.84939441;93.60413743;6.395862567;92.55377816;7.446221838
Meghalaya;8;91;2022-05-20T00:01:11;2022-05-20T00:01:11;sci;37.48006228;31.8401943;90.62683504;9.373164962;80.06190871;19.93809129
Meghalaya;8;91;2022-05-20T00:01:11;2022-05-20T00:01:11;sst;35.63904092;31.596574;94.59974014;5.400259858;88.48209523;11.51790477
Meghalaya;10;128;2022-05-20T00:01:11;2022-05-20T00:01:11;eng;52.350784;41.099487;42.31236;57.68764;27.75445;72.24555
Meghalaya;10;128;2022-05-20T00:01:11;2022-05-20T00:01:11;math;27.72068;25.980207;93.651505;6.348496;88.38261;11.617396
Meghalaya;10;128;2022-05-20T00:01:11;2022-05-20T00:01:11;mil;25.600286;27.129658;98.38614;1.6138641;98.62399;1.3760096
Meghalaya;10;128;2022-05-20T00:01:11;2022-05-20T00:01:11;sci;35.45914;30.941378;97.21926;2.7807407;93.37066;6.6293426
Meghalaya;10;128;2022-05-20T00:01:11;2022-05-20T00:01:11;sst;37.05086;32.299404;94.47751;5.522494;86.058365;13.941631
