state_name;grade;id;created_at;updated_at;subject;state_average;national_average;state_average_scaled_2021;state_average_scaled_2017;below_basic;basic;proficient;advanced
Meghalaya;3;17;2022-05-20T00:01:10;2022-05-20T00:01:10;evs;49.38133703;57.41111026;292;311;34.9590105;34.34427285;23.75448556;6.942231101
Meghalaya;3;17;2022-05-20T00:01:10;2022-05-20T00:01:10;language;51.86751271;61.88003463;303;327;46.93215029;25.71749406;19.06542852;8.284927132
Meghalaya;3;17;2022-05-20T00:01:10;2022-05-20T00:01:10;math;44.54552926;56.94394351;279;307;42.39017454;34.02435261;18.64558203;4.939890824
Meghalaya;5;54;2022-05-20T00:01:11;2022-05-20T00:01:11;evs;39.53950724;48.48748114;265;283;51.75279516;31.05506459;14.26453262;2.927607634
Meghalaya;5;54;2022-05-20T00:01:11;2022-05-20T00:01:11;language;46.98797623;55.19833154;294;296;31.3856104;41.10670447;19.9101299;7.597555232
Meghalaya;5;54;2022-05-20T00:01:11;2022-05-20T00:01:11;math;33.18082851;43.71621283;262;284;55.5061209;34.68710848;7.086098986;2.720671633
Meghalaya;8;91;2022-05-20T00:01:11;2022-05-20T00:01:11;language;43.52343202;52.97309821;280;288;39.16575454;40.25752701;13.50628945;7.070429002
Meghalaya;8;91;2022-05-20T00:01:11;2022-05-20T00:01:11;math;28.01267114;36.02218948;232;249;40.95914592;52.33358577;5.849988834;0.857279485
Meghalaya;8;91;2022-05-20T00:01:11;2022-05-20T00:01:11;sci;33.52325024;39.38511521;229;252;54.73235781;32.74167965;9.668646401;2.857316139
Meghalaya;8;91;2022-05-20T00:01:11;2022-05-20T00:01:11;sst;32.80291041;39.33958349;231;260;57.22192686;35.55221076;5.742451838;1.483410549
Meghalaya;10;128;2022-05-20T00:01:11;2022-05-20T00:01:11;eng;43.88527;43.18472;278;261;22.10411;16.603762;42.124184;19.167946
Meghalaya;10;128;2022-05-20T00:01:11;2022-05-20T00:01:11;math;26.41469;32.09475;198;232;42.978863;49.357346;6.765574;0.89822
Meghalaya;10;128;2022-05-20T00:01:11;2022-05-20T00:01:11;mil;26.821905;41.25734;212;0;90.21523;8.218768;1.5323229;0.033678126
Meghalaya;10;128;2022-05-20T00:01:11;2022-05-20T00:01:11;sci;32.058937;34.924866;192;237;82.239655;14.027573;3.3793352;0.35343412
Meghalaya;10;128;2022-05-20T00:01:11;2022-05-20T00:01:11;sst;33.480972;37.30951;216;238;73.24228;19.141594;6.9046354;0.7114876
