state_name;grade;id;created_at;updated_at;subject;state_average;national_average;state_average_scaled_2021;state_average_scaled_2017;below_basic;basic;proficient;advanced
Sikkim;3;11;2022-05-20T00:01:10;2022-05-20T00:01:10;evs;59.00123614;57.41111026;309;308;17.24040834;39.71059749;32.71545038;10.33354379
Sikkim;3;11;2022-05-20T00:01:10;2022-05-20T00:01:10;language;65.18307519;61.88003463;331;325;24.15400364;33.26724218;28.4315302;14.14722398
Sikkim;3;11;2022-05-20T00:01:10;2022-05-20T00:01:10;math;54.14641279;56.94394351;298;307;21.49059421;43.96120907;30.70110256;3.847094166
Sikkim;5;48;2022-05-20T00:01:11;2022-05-20T00:01:11;evs;45.09322549;48.48748114;276;282;35.32725073;39.88622079;21.35561624;3.430912246
Sikkim;5;48;2022-05-20T00:01:11;2022-05-20T00:01:11;language;54.77960112;55.19833154;310;297;22.89942487;34.65642013;30.25108889;12.19306611
Sikkim;5;48;2022-05-20T00:01:11;2022-05-20T00:01:11;math;36.17010739;43.71621283;268;281;43.89949636;43.94767644;10.68400727;1.468819932
Sikkim;8;85;2022-05-20T00:01:11;2022-05-20T00:01:11;language;56.57394518;52.97309821;312;294;17.07106;44.13245094;21.77350351;17.02298555
Sikkim;8;85;2022-05-20T00:01:11;2022-05-20T00:01:11;math;29.850118;36.02218948;237;241;32.9916332;57.18737284;8.983566672;0.83742728
Sikkim;8;85;2022-05-20T00:01:11;2022-05-20T00:01:11;sci;39.45819088;39.38511521;248;257;36.48210271;38.03661969;20.06606546;5.415212134
Sikkim;8;85;2022-05-20T00:01:11;2022-05-20T00:01:11;sst;36.80495652;39.33958349;247;263;40.86200643;47.51055116;9.351886055;2.275556352
Sikkim;10;122;2022-05-20T00:01:11;2022-05-20T00:01:11;eng;53.58005;43.18472;303;273;9.814347;9.567737;50.422558;30.19536
Sikkim;10;122;2022-05-20T00:01:11;2022-05-20T00:01:11;math;25.71377;32.09475;195;226;42.485146;52.54337;4.2379627;0.7335217
Sikkim;10;122;2022-05-20T00:01:11;2022-05-20T00:01:11;mil;32.903305;41.25734;233;238;76.594986;19.170137;4.167238;0.06763497
Sikkim;10;122;2022-05-20T00:01:11;2022-05-20T00:01:11;sci;33.420544;34.924866;200;252;80.39374;16.634089;2.613312;0.35886517
Sikkim;10;122;2022-05-20T00:01:11;2022-05-20T00:01:11;sst;39.142124;37.30951;237;259;53.15044;33.566273;12.326913;0.95637256
