state_name;grade;id;created_at;updated_at;subject;boys;girls;trans_gender;boys_basic_and_below_basic;boys_proficient_and_advance;girls_basic_and_below_basic;girls_proficient_and_advance
Telangana;3;36;2022-05-20T00:01:10;2022-05-20T00:01:10;evs;43.87265808;45.13639778;0;76.10387142;23.89612858;74.68195936;25.31804064
Telangana;3;36;2022-05-20T00:01:10;2022-05-20T00:01:10;language;47.26839927;48.52087658;0;78.18024493;21.81975507;77.21038629;22.78961371
Telangana;3;36;2022-05-20T00:01:10;2022-05-20T00:01:10;math;44.21777229;44.59249085;0;75.30903897;24.69096103;75.01787864;24.98212136
Telangana;5;73;2022-05-20T00:01:11;2022-05-20T00:01:11;evs;36.92458526;38.38118973;0;86.17209827;13.82790173;84.24405219;15.75594781
Telangana;5;73;2022-05-20T00:01:11;2022-05-20T00:01:11;language;41.65043473;44.09269926;0;78.52998626;21.47001374;74.9133917;25.0866083
Telangana;5;73;2022-05-20T00:01:11;2022-05-20T00:01:11;math;34.63893757;35.66223791;0;88.91412141;11.08587859;87.87344917;12.12655083
Telangana;8;110;2022-05-20T00:01:11;2022-05-20T00:01:11;language;45.47470735;50.12606927;0;79.33740977;20.66259023;72.04560406;27.95439594
Telangana;8;110;2022-05-20T00:01:11;2022-05-20T00:01:11;math;31.78068972;31.98358257;0;84.30037111;15.69962889;84.11112773;15.88887227
Telangana;8;110;2022-05-20T00:01:11;2022-05-20T00:01:11;sci;35.23933901;34.97387163;0;83.09815397;16.90184603;84.91260105;15.08739895
Telangana;8;110;2022-05-20T00:01:11;2022-05-20T00:01:11;sst;33.91009442;33.63812809;0;90.76114422;9.238855781;91.66775163;8.332248366
Telangana;10;147;2022-05-20T00:01:11;2022-05-20T00:01:11;eng;46.804417;49.81064;0;32.229088;67.77091;27.486137;72.51386
Telangana;10;147;2022-05-20T00:01:11;2022-05-20T00:01:11;math;29.922989;29.12874;0;84.14423;15.855765;84.78161;15.218394
Telangana;10;147;2022-05-20T00:01:11;2022-05-20T00:01:11;mil;34.095467;36.790787;0;98.76221;1.2377934;97.78725;2.2127504
Telangana;10;147;2022-05-20T00:01:11;2022-05-20T00:01:11;sci;33.49943;34.35556;0;93.9161;6.0839014;93.54353;6.4564657
Telangana;10;147;2022-05-20T00:01:11;2022-05-20T00:01:11;sst;35.901665;36.558025;0;87.9848;12.015196;87.27219;12.727814
