state_name;grade;id;created_at;updated_at;subject;govt;govt_aided;private;central_govt;govt_basic_and_below_basic;govt_proficient_and_advance;govt_aided_basic_and_below_basic;govt_aided_proficient_and_advance;private_basic_and_below_basic;private_proficient_and_advance;central_govt_basic_and_below_basic;central_govt_proficient_and_advance
Telangana;3;36;2022-05-20T00:01:10;2022-05-20T00:01:10;evs;45.94381768;42.14590137;44.16139713;45.10687171;74.01095748;25.98904252;77.69965434;22.30034566;76.01931766;23.98068234;72.98773311;27.01226689
Telangana;3;36;2022-05-20T00:01:10;2022-05-20T00:01:10;language;49.90997469;43.68023964;47.34611435;50.11936068;77.49429989;22.50570011;82.70575044;17.29424956;77.8081598;22.1918402;71.76049613;28.23950387
Telangana;3;36;2022-05-20T00:01:10;2022-05-20T00:01:10;math;45.13789819;40.63663792;44.88943282;43.68345841;75.34853102;24.65146898;78.29538141;21.70461859;74.12595092;25.87404908;77.25073688;22.74926312
Telangana;5;73;2022-05-20T00:01:11;2022-05-20T00:01:11;evs;36.31212267;35.49063948;39.20016927;37.1706968;84.85377342;15.14622658;89.12615958;10.87384042;84.28873672;15.71126328;86.24199359;13.75800641
Telangana;5;73;2022-05-20T00:01:11;2022-05-20T00:01:11;language;39.54403938;41.02680286;45.37841835;43.38753285;82.10778285;17.89221715;79.61737595;20.38262405;72.80029908;27.19970092;75.57900941;24.42099059
Telangana;5;73;2022-05-20T00:01:11;2022-05-20T00:01:11;math;34.06288004;33.70540358;36.30913493;34.83790477;88.61500103;11.38499897;90.29579731;9.704202695;87.89834411;12.10165589;88.34286024;11.65713976
Telangana;8;110;2022-05-20T00:01:11;2022-05-20T00:01:11;language;39.26276657;53.42115217;57.4265157;49.08211635;89.32644469;10.67355531;65.62650449;34.37349551;60.25414322;39.74585678;74.14904516;25.85095484
Telangana;8;110;2022-05-20T00:01:11;2022-05-20T00:01:11;math;30.47694647;31.85304412;33.51541831;31.9425539;86.17883623;13.82116377;87.01752495;12.98247505;81.37449026;18.62550974;85.09330661;14.90669339
Telangana;8;110;2022-05-20T00:01:11;2022-05-20T00:01:11;sci;31.31102509;36.12712451;39.39509829;35.22856277;91.33744101;8.662558991;81.41770101;18.58229899;75.72344853;24.27655147;84.24018927;15.75981073
Telangana;8;110;2022-05-20T00:01:11;2022-05-20T00:01:11;sst;31.07429322;35.9146734;36.62309116;34.02248637;93.30804517;6.691954831;89.00173369;10.99826631;89.2236124;10.7763876;90.64422927;9.355770727
Telangana;10;147;2022-05-20T00:01:11;2022-05-20T00:01:11;eng;38.47214;52.02733;59.60456;52.727375;45.722958;54.277042;24.022085;75.97791;11.072617;88.92738;25.09462;74.90538
Telangana;10;147;2022-05-20T00:01:11;2022-05-20T00:01:11;math;27.313667;30.96472;31.71355;31.294575;88.72658;11.273422;84.45015;15.549848;80.38846;19.611544;79.61257;20.387428
Telangana;10;147;2022-05-20T00:01:11;2022-05-20T00:01:11;mil;34.17745;35.205685;37.266903;35.92559;98.97857;1.0214304;96.457855;3.5421484;97.489174;2.5108225;97.38269;2.617306
Telangana;10;147;2022-05-20T00:01:11;2022-05-20T00:01:11;sci;29.942272;35.170933;38.076885;37.424706;97.86135;2.138648;93.59533;6.404669;90.418076;9.5819235;86.04064;13.959355
Telangana;10;147;2022-05-20T00:01:11;2022-05-20T00:01:11;sst;31.906204;36.816868;40.583324;40.604427;94.91491;5.08509;86.3772;13.622805;80.54386;19.456139;79.385765;20.614239
