state_name;grade;id;created_at;updated_at;subject;sc;st;obc;general;sc_basic_and_below_basic;sc_proficient_and_advance;st_basic_and_below_basic;st_proficient_and_advance;obc_basic_and_below_basic;obc_proficient_and_advance;general_basic_and_below_basic;general_proficient_and_advance
Uttar Pradesh;3;9;2022-05-20T00:01:10;2022-05-20T00:01:10;evs;53.68726965;52.72757872;53.9975529;55.73358325;60.49108174;39.50891826;63.78395634;36.21604366;61.27324768;38.72675232;58.78930273;41.21069727
Uttar Pradesh;3;9;2022-05-20T00:01:10;2022-05-20T00:01:10;language;57.2962613;58.02551092;57.83221782;60.16768263;68.44584038;31.55415962;64.63514227;35.36485773;67.95967306;32.04032694;63.34227412;36.65772588
Uttar Pradesh;3;9;2022-05-20T00:01:10;2022-05-20T00:01:10;math;52.87883756;52.07786934;53.89470868;55.25769866;63.38613001;36.61386999;67.70449415;32.29550585;62.15456304;37.84543696;60.38857009;39.61142991
Uttar Pradesh;5;46;2022-05-20T00:01:11;2022-05-20T00:01:11;evs;45.81148213;45.43771276;46.17725322;48.35900438;70.75901159;29.24098841;70.13211006;29.86788994;70.60808966;29.39191034;68.13107394;31.86892606
Uttar Pradesh;5;46;2022-05-20T00:01:11;2022-05-20T00:01:11;language;50.85952829;50.66275735;51.80778713;56.39454616;65.56526751;34.43473249;66.21882769;33.78117231;64.41575069;35.58424931;57.09617422;42.90382578
Uttar Pradesh;5;46;2022-05-20T00:01:11;2022-05-20T00:01:11;math;40.74012175;40.21608841;41.17332305;43.2212449;78.24195377;21.75804623;77.17121789;22.82878211;78.11761126;21.88238874;75.48223658;24.51776342
Uttar Pradesh;8;83;2022-05-20T00:01:11;2022-05-20T00:01:11;language;43.64582326;43.06418756;46.04260787;53.51302242;80.61059304;19.38940696;82.59783701;17.40216299;78.27255444;21.72744556;65.26815341;34.73184659
Uttar Pradesh;8;83;2022-05-20T00:01:11;2022-05-20T00:01:11;math;32.24481062;31.66841237;32.90223375;35.21133227;77.72349267;22.27650733;78.72393113;21.27606887;77.16008829;22.83991171;73.65198541;26.34801459
Uttar Pradesh;8;83;2022-05-20T00:01:11;2022-05-20T00:01:11;sci;34.03789674;34.03832896;34.86489584;38.6492836;81.42668253;18.57331747;82.08400211;17.91599789;81.09035183;18.90964817;73.90309211;26.09690789
Uttar Pradesh;8;83;2022-05-20T00:01:11;2022-05-20T00:01:11;sst;35.29401487;33.87946708;36.1583719;38.85820654;85.67653185;14.32346815;85.73641474;14.26358526;85.23983591;14.76016409;81.67282188;18.32717812
Uttar Pradesh;10;120;2022-05-20T00:01:11;2022-05-20T00:01:11;eng;31.449543;30.230982;33.306908;40.263466;64.47876;35.52124;69.24866;30.751343;59.718094;40.281906;45.9352;54.0648
Uttar Pradesh;10;120;2022-05-20T00:01:11;2022-05-20T00:01:11;math;28.052128;26.78705;29.402447;31.238497;86.277565;13.722431;90.36129;9.638714;83.1845;16.815496;78.95363;21.046373
Uttar Pradesh;10;120;2022-05-20T00:01:11;2022-05-20T00:01:11;mil;35.609524;34.63357;38.00237;42.580025;94.83903;5.1609745;95.59384;4.406157;93.09804;6.9019647;86.9319;13.068103
Uttar Pradesh;10;120;2022-05-20T00:01:11;2022-05-20T00:01:11;sci;29.763231;29.230783;31.172249;33.78609;97.72753;2.2724714;98.37861;1.6213894;96.5137;3.4862957;92.85288;7.147114
Uttar Pradesh;10;120;2022-05-20T00:01:11;2022-05-20T00:01:11;sst;30.94319;30.549482;32.154232;35.463943;95.168236;4.8317604;96.28897;3.7110326;93.707664;6.292338;87.86766;12.132339
