state_name;grade;subject;state_id;govt_score;govt_standard error;govt_aided_score;govt_aided_standard error;private_score;private_standard error;central_govt_score;central_govt_standard error;category
Andaman & Nicobar Islands;3;evs;35;311;0;282;0;311;0;291;0;0
Andhra Pradesh;3;evs;28;299;0;291;0;298;0;296;0;0
Arunachal Pradesh;3;evs;12;284;0;285;0;295;0;281;0;1
Assam;3;evs;18;315;0;300;0;314;0;293;0;0
Bihar;3;evs;10;297;0;291;0;314;0;301;0;0
Chandigarh;3;evs;4;308;0;317;0;337;0;290;0;2
Chhattisgarh;3;evs;22;291;0;285;0;290;0;278;0;0
Dadra & Nagar Haveli;3;evs;26;276;0;247;0;282;0;272;0;0
Daman & Diu;3;evs;25;311;0;273;0;285;0;257;0;0
Delhi;3;evs;7;278;0;283;0;302;0;285;0;2
Goa;3;evs;30;311;0;309;0;322;0;289;0;0
Gujarat;3;evs;24;316;0;312;0;309;0;301;0;0
Haryana;3;evs;6;307;0;270;0;297;0;282;0;0
Himachal Pradesh;3;evs;2;311;0;0;0;302;0;274;0;3
Jammu & Kashmir;3;evs;1;302;0;297;0;316;0;303;0;0
Jharkhand;3;evs;20;299;0;298;0;307;0;286;0;1
Karnataka;3;evs;29;318;0;310;0;299;0;296;0;0
Kerala;3;evs;32;324;0;321;0;312;0;310;0;0
Ladakh;3;evs;37;318;0;333;0;288;0;289;0;2
Lakshadweep;3;evs;31;305;0;0;0;0;0;291;0;3
Madhya Pradesh;3;evs;23;330;0;300;0;310;0;305;0;0
Maharashtra;3;evs;27;322;0;318;0;308;0;301;0;0
Manipur;3;evs;14;317;0;324;0;315;0;316;0;2
Meghalaya;3;evs;17;297;0;287;0;297;0;292;0;0
Mizoram;3;evs;15;319;0;0;0;306;0;291;0;3
Nagaland;3;evs;13;314;0;0;0;298;0;285;0;3
Odisha;3;evs;21;311;0;289;0;312;0;299;0;0
Puducherry;3;evs;34;319;0;301;0;322;0;323;0;0
Punjab;3;evs;3;365;0;327;0;325;0;314;0;0
Rajasthan;3;evs;8;328;0;0;0;320;0;293;0;3
Sikkim;3;evs;11;297;0;326;0;303;0;329;0;2
Tamil Nadu;3;evs;33;306;0;314;0;296;0;291;0;2
Telangana;3;evs;36;284;0;277;0;281;0;282;0;0
Tripura;3;evs;16;299;0;287;0;301;0;283;0;0
Uttar Pradesh;3;evs;9;302;0;286;0;303;0;285;0;0
Uttarakhand;3;evs;5;300;0;296;0;300;0;280;0;0
West Bengal;3;evs;19;311;0;325;0;324;0;303;0;2
National Average;3;evs;0;308;0;299;0;306;0;293;0;3
Andaman & Nicobar Islands;3;language;35;324;0;290;0;326;0;325;0;0
Andhra Pradesh;3;language;28;314;0;305;0;310;0;312;0;0
Arunachal Pradesh;3;language;12;294;0;306;0;303;0;297;0;2
Assam;3;language;18;328;0;314;0;330;0;303;0;0
Bihar;3;language;10;312;0;304;0;334;0;314;0;0
Chandigarh;3;language;4;321;0;327;0;375;0;312;0;2
Chhattisgarh;3;language;22;303;0;296;0;301;0;287;0;0
Dadra & Nagar Haveli;3;language;26;284;0;266;0;304;0;300;0;0
Daman & Diu;3;language;25;322;0;296;0;295;0;260;0;0
Delhi;3;language;7;285;0;295;0;323;0;300;0;2
Goa;3;language;30;323;0;324;0;351;0;312;0;1
Gujarat;3;language;24;333;0;327;0;328;0;314;0;0
Haryana;3;language;6;320;0;278;0;314;0;297;0;0
Himachal Pradesh;3;language;2;328;0;0;0;319;0;285;0;3
Jammu & Kashmir;3;language;1;319;0;315;0;341;0;323;0;0
Jharkhand;3;language;20;312;0;307;0;330;0;300;0;0
Karnataka;3;language;29;334;0;326;0;315;0;312;0;0
Kerala;3;language;32;344;0;341;0;342;0;337;0;0
Ladakh;3;language;37;330;0;354;0;305;0;284;0;2
Lakshadweep;3;language;31;320;0;0;0;0;0;303;0;3
Madhya Pradesh;3;language;23;347;0;311;0;326;0;317;0;0
Maharashtra;3;language;27;339;0;335;0;326;0;319;0;0
Manipur;3;language;14;336;0;346;0;329;0;336;0;2
