state_name;grade;subject;state_id;sc_score;sc_standard error;st_score;st_standard error;obc_score;obc_standard error;general_score;general_standard error;general_category;st_category;obc_category
Andaman & Nicobar Islands;3;evs;35;298.64;0;287.31;0;318.16;0;306.57;0;0;2;2
Andhra Pradesh;3;evs;28;301.18;0;300.33;0;297.93;0;295.29;0;1;0;0
Arunachal Pradesh;3;evs;12;282.86;0;276.29;0;288.84;0;283.25;0;0;2;1
Assam;3;evs;18;315.52;0;319.33;0;307.96;0;314.74;0;2;0;1
Bihar;3;evs;10;301.32;0;298.1;0;300.05;0;301.47;0;0;0;1
Chandigarh;3;evs;4;315.59;0;292.72;0;366;0;282.77;0;0;2;0
Chhattisgarh;3;evs;22;294.19;0;292.3;0;289.23;0;287.2;0;0;0;0
Dadra & Nagar Haveli;3;evs;26;287.29;0;258.61;0;262.76;0;261.23;0;0;0;0
Daman & Diu;3;evs;25;303.67;0;266.05;0;305.07;0;285.29;0;0;2;0
Delhi;3;evs;7;292.01;0;275.73;0;277.17;0;284.25;0;0;0;0
Goa;3;evs;30;310.14;0;306.12;0;304.61;0;304.25;0;0;0;0
Gujarat;3;evs;24;314.06;0;315.78;0;316.15;0;310.32;0;2;2;0
Haryana;3;evs;6;299.86;0;302.21;0;291.86;0;299.9;0;2;0;1
Himachal Pradesh;3;evs;2;302.6;0;305.65;0;297.53;0;302.79;0;2;0;1
Jammu & Kashmir;3;evs;1;312.48;0;305.16;0;301.46;0;306.83;0;0;0;0
Jharkhand;3;evs;20;308.14;0;293.63;0;297.81;0;299.05;0;0;0;0
Karnataka;3;evs;29;309.14;0;309;0;309.22;0;308.05;0;1;1;0
Kerala;3;evs;32;321.64;0;325.53;0;297.13;0;317.09;0;2;0;0
Ladakh;3;evs;37;318.39;0;289.44;0;291.69;0;280;0;0;0;0
Lakshadweep;3;evs;31;327;0;0;0;302.91;0;303.13;0;3;0;0
Madhya Pradesh;3;evs;23;312.2;0;318.58;0;314.48;0;316.88;0;2;2;2
Maharashtra;3;evs;27;316.28;0;315.56;0;312.72;0;316.89;0;1;0;1
Manipur;3;evs;14;317.84;0;297.84;0;316.94;0;316.17;0;0;1;0
